year_month,monthly_total_precip_in
2017-01,
2017-02,
2017-03,
2017-04,
2017-05,1.3818905099999996
2017-06,0.7417326839999999
2017-07,0.5519688019999998
2017-08,0.6102365499999991
2017-09,0.4149608539999997
2017-10,0.8594492829999991
2017-11,0.6496066499999998
2017-12,0.5157483099999993
2018-01,
2018-02,
2018-03,
2018-04,
2018-05,0.6220475799999997
2018-06,0.24724422799999957
2018-07,0.6062995399999993
2018-08,0.36063011599999945
2018-09,0.5165357119999996
2018-10,0.7311027569999995
2018-11,0.6897641520000001
2018-12,1.064567503999999
2019-01,0.5791341709999998
2019-02,0.8988193829999993
2019-03,0.49291365199999954
2019-04,0.6157483639999997
2019-05,0.7196854279999996
2019-06,0.3291340359999999
2019-07,0.8330713159999995
2019-08,0.4098427409999997
2019-09,0.3413387669999998
2019-10,0.6027562309999998
2019-11,0.24212611499999925
2019-12,0.7842523919999995
2020-01,0.7677169499999993
2020-02,1.2736227349999993
2020-03,0.30433087299999984
2020-04,
2020-05,
2020-06,
2020-07,
2020-08,
2020-09,
2020-10,
2020-11,
2020-12,
2021-01,
2021-02,
2021-03,
2021-04,
2021-05,
2021-06,
2021-07,
2021-08,
2021-09,
2021-10,
2021-11,
2021-12,
2022-01,
2022-02,
2022-03,
2022-04,0.33661435499999953
2022-05,0.4740160039999995
2022-06,0.31299229499999964
2022-07,0.5307089479999995
2022-08,
2022-09,0.2011812109999994
2022-10,0.44212622299999943
2022-11,0.6696854009999994
2022-12,0.3562994049999998
2023-01,0.4830711269999996
2023-02,0.5263782369999993
2023-03,
2023-04,
2023-05,
2023-06,
2023-07,0.31574820199999964
2023-08,0.15039378199999973
2023-09,0.4409451199999995
2023-10,0.6744098129999996
2023-11,0.22362216799999957
2023-12,
2024-01,
2024-02,
2024-03,
2024-04,
2024-05,
2024-06,
2024-07,
2024-08,
2024-09,
2024-10,
2024-11,
2024-12,
