year_month,monthly_total_precip_in
2001-01,
2001-02,
2001-03,
2001-04,
2001-05,
2001-06,
2001-07,
2001-08,
2001-09,
2001-10,
2001-11,
2001-12,
2002-01,9.031500939999999
2002-02,6.086617459999999
2002-03,13.39370802
2002-04,12.12992781
2002-05,
2002-06,
2002-07,
2002-08,
2002-09,
2002-10,
2002-11,
2002-12,
2003-01,
2003-02,
2003-03,
2003-04,
2003-05,
2003-06,5.842522839999999
2003-07,12.503943759999997
2003-08,7.933075149999999
2003-09,3.0748048099999985
2003-10,5.531499050000001
2003-11,20.263790469999996
2003-12,12.893707749999999
2004-01,10.0000054
2004-02,9.417327919999998
2004-03,12.015754519999996
2004-04,
2004-05,
2004-06,
2004-07,
2004-08,
2004-09,
2004-10,
2004-11,
2004-12,
