year_month,monthly_total_precip_in
2019-01,
2019-02,
2019-03,
2019-04,
2019-05,
2019-06,
2019-07,0.6602365769999993
2019-08,0.3940947009999998
2019-09,0.22283476599999968
2019-10,0.5618113269999998
2019-11,0.2783466069999997
2019-12,0.7944886179999994
2020-01,0.7173232219999995
2020-02,1.2318904289999995
2020-03,0.2271654769999997
2020-04,0.7051184909999996
2020-05,0.2885828329999996
2020-06,1.0051186529999994
2020-07,0.6948822649999994
2020-08,0.5240160309999995
2020-09,0.7125988099999992
2020-10,1.0114178689999995
2020-11,0.6488192479999995
2020-12,0.7011814809999993
2021-01,0.8362209239999988
2021-02,0.9377957819999988
2021-03,0.47598450899999994
2021-04,0.38503957799999905
2021-05,0.3370080559999999
2021-06,0.5661420379999997
2021-07,0.4389766149999996
2021-08,0.5539373069999995
2021-09,0.2023623139999995
2021-10,0.20196861299999952
2021-11,0.5614176259999992
2021-12,0.30275606899999963
2022-01,0.6748035139999996
2022-02,0.9188981339999995
2022-03,0.2874017299999993
2022-04,0.2464568259999994
2022-05,0.44291362499999976
2022-06,0.3291340359999996
2022-07,0.3996065149999997
2022-08,0.3681104349999993
2022-09,0.1775591509999996
2022-10,0.5196853199999998
2022-11,0.7078743979999998
2022-12,0.4468506349999994
2023-01,0.6838586369999997
2023-02,0.5622050279999995
2023-03,0.5956696129999999
2023-04,0.7724413619999997
2023-05,0.5417325759999995
2023-06,0.4043309269999995
2023-07,0.46496088099999977
2023-08,0.1200788049999996
2023-09,0.5893703969999996
2023-10,0.6377956199999991
2023-11,0.2074804269999997
2023-12,1.105906108999999
2024-01,
2024-02,
2024-03,0.4519687479999995
2024-04,0.524409731999999
2024-05,0.8055122459999994
2024-06,0.7866145979999996
2024-07,0.4015750199999999
2024-08,0.5854333869999997
2024-09,0.6429137329999994
2024-10,0.3366143549999998
2024-11,0.7114177069999988
2024-12,0.6736224109999995
