fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.4473648965358734,0.4473648965358734,0.4476581811904907
2,0.9185048490762711,0.9185048490762711,0.5325639247894287
3,0.3579626679420471,0.3579626679420471,0.5510880351066589
4,0.5086956322193146,0.5086956322193146,0.46366167068481445
5,0.46268776059150696,0.46268776059150696,0.5441453456878662
6,0.40319401025772095,0.40319401025772095,0.5240262746810913
7,0.6470307856798172,0.6470307856798172,0.5286875367164612
8,0.4760620445013046,0.4760620445013046,0.501591682434082
9,0.6807790100574493,0.6807790100574493,0.46148574352264404
10,0.49074429273605347,0.49074429273605347,0.4750257730484009
