fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.45276032388210297,0.45276032388210297,0.46585237979888916
2,0.9562055617570877,0.9562055617570877,0.5100435018539429
3,0.3444332629442215,0.3444332629442215,0.5451399087905884
4,0.5164387077093124,0.5164387077093124,0.4568595886230469
5,0.4751366525888443,0.4751366525888443,0.5451396107673645
6,0.39715228974819183,0.39715228974819183,0.5385527610778809
7,0.6529652178287506,0.6529652178287506,0.5208283066749573
8,0.4846460372209549,0.4846460372209549,0.5028567910194397
9,0.6577176004648209,0.6577176004648209,0.4883819818496704
10,0.48631688952445984,0.48631688952445984,0.4602476954460144
