fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.4897565901279449,0.4897565901279449,0.4648907780647278
2,0.6964007556438446,0.6964007556438446,0.4954121708869934
3,0.35626110434532166,0.35626110434532166,0.566340982913971
4,0.5185850620269775,0.5185850620269775,0.4724273085594177
5,0.5006634950637817,0.5006634950637817,0.5588939785957336
6,0.4101699650287628,0.4101699650287628,0.5683118104934692
7,0.5432192623615265,0.5432192623615265,0.5198734998703003
8,0.5355065584182739,0.5355065584182739,0.5092344284057617
9,0.5452125012874603,0.5452125012874603,0.48114556074142456
10,0.39885358810424804,0.39885358810424804,0.4973052144050598
