rank,trial_number,trial_id,objective_value,attention_dropout,attention_heads,batch_size,climate_activation,climate_processing,climate_units,dropout_rate,l2_reg,learning_rate,local_dem_units,na,nb,output_activation,regional_dem_units,temporal_units,use_cross_attention,use_multihead_attention,use_residual,use_spatial_attention,weight_decay
1,94,1972,0.3660289645,0.2,0,0,0,0,1425,0.35,1.595639822e-07,5.0526941e-05,1,3968,532,0,0,3,1,1,0,0,0.0002989692696
2,81,1959,0.3667347133,0.2,0,0,0,0,1320,0.4,1.601855919e-07,3.520879817e-05,1,4224,532,0,0,3,1,1,0,0,0.0002315582519
3,53,1931,0.3714474738,0.2,0,0,0,0,1320,0.4,1.678262391e-07,4.650829723e-05,1,3968,548,0,0,3,1,1,0,0,0.000257636184
4,64,1942,0.3730650544,0.2,0,0,0,0,1230,0.35,1.606957837e-07,4.452258788e-05,1,4096,548,0,0,3,1,1,0,0,0.0002167192669
5,32,1910,0.373704195,0.4,1,0,0,0,1410,0.45,2.295782492e-07,2.889936701e-05,0,4224,564,0,0,1,0,1,0,0,0.0002456372731
6,96,1974,0.3750188053,0.2,0,0,0,0,1350,0.35,1.592951705e-07,5.084942623e-05,1,3968,532,0,0,3,1,1,0,0,0.00027606638
7,74,1952,0.3750477731,0.2,0,0,0,0,1230,0.35,1.575651784e-07,3.668711842e-05,1,4096,516,0,0,3,1,1,0,0,0.0002428381665
8,59,1937,0.3751475513,0.2,0,0,0,0,1200,0.35,1.603539612e-07,3.525947151e-05,1,3968,532,0,0,3,1,1,0,0,0.0003107152303
9,50,1928,0.3772749007,0.2,0,0,0,0,1260,0.4,1.66096103e-07,4.533177799e-05,1,4096,532,0,0,3,1,1,0,0,0.0002002604179
10,73,1951,0.3780055344,0.2,0,0,0,0,1395,0.35,1.602795306e-07,4.620290493e-05,1,4096,516,0,0,3,1,1,0,0,0.0002007450922
