rank,trial_number,trial_id,objective_value,attention_dropout,attention_heads,batch_size,climate_activation,climate_processing,climate_units,dropout_rate,l2_reg,learning_rate,local_dem_units,na,nb,output_activation,regional_dem_units,temporal_units,use_cross_attention,use_multihead_attention,use_residual,use_spatial_attention,weight_decay
1,95,2165,0.3605131209,0,0,0,0,0,1200,0.45,1.500214272e-07,4.034227915e-05,0,4864,548,0,0,0,0,0,0,0,0.0003227900676
2,144,2214,0.3616502881,0,0,0,0,0,1275,0.45,1.541269972e-07,5.129353191e-05,0,4864,548,0,0,0,0,0,0,0,0.0002866108875
3,41,2111,0.3618406653,0,0,0,0,0,1260,0.35,1.541095849e-07,2.877873049e-05,0,4736,612,0,0,3,0,0,0,0,0.0003311814003
4,110,2180,0.362618804,0,0,0,0,0,1230,0.45,2.413362226e-07,3.737556189e-05,0,4864,548,0,0,4,0,0,0,0,0.0003409300101
5,187,2257,0.3631049991,0,0,0,0,0,1275,0.4,1.527372323e-07,4.192004854e-05,0,4864,580,0,0,3,0,0,0,0,0.0003334234216
6,170,2240,0.3648841679,0,0,0,0,0,1335,0.45,1.526789756e-07,5.136073353e-05,0,4864,596,0,0,3,0,0,0,0,0.0003114714536
7,96,2166,0.3653872907,0,0,0,0,0,1200,0.45,1.542071077e-07,4.099145708e-05,0,4864,548,0,0,0,0,0,0,0,0.000316233184
8,128,2198,0.3689466715,0,0,0,0,0,1230,0.35,1.779504917e-07,3.750893156e-05,0,4864,612,0,0,3,0,0,0,0,0.0003376238173
9,100,2170,0.369905144,0,0,0,0,0,1230,0.45,1.533141369e-07,4.236294293e-05,0,4864,532,0,0,3,0,0,0,0,0.0002981960588
10,137,2207,0.371623069,0,0,0,0,0,1305,0.45,2.241708917e-07,3.836233283e-05,0,4864,548,0,0,0,0,0,0,0,0.0002685745912
