rank,trial_number,trial_id,objective_value,attention_dropout,attention_heads,batch_size,climate_activation,climate_processing,climate_units,dropout_rate,l2_reg,learning_rate,local_dem_units,na,nb,output_activation,regional_dem_units,temporal_units,use_cross_attention,use_multihead_attention,use_residual,use_spatial_attention,weight_decay
1,0,2030,0.5746069252,0,0,0,0,0,1290,0.4,2.153655701e-07,2.540906045e-05,0,3968,596,0,0,0,0,0,0,0,0.0003441557211
2,7,2037,0.5783227801,0,0,0,0,0,1275,0.45,1.99806634e-07,4.591310427e-05,0,3968,580,0,0,3,0,0,0,0,0.0002636580974
3,6,2036,0.5783612162,0,0,0,0,0,1200,0.45,2.062382283e-07,3.245241323e-05,0,4096,516,0,0,0,0,0,0,0,0.0002072416747
4,1,2031,0.5784003556,0,0,0,0,0,1410,0.4,1.610785819e-07,3.147581343e-05,0,4096,532,0,0,4,0,0,0,0,0.0002455103826
5,4,2034,0.5784083366,0,0,0,0,0,1335,0.35,1.657943827e-07,2.590758061e-05,0,4224,596,0,0,1,0,0,0,0,0.000239937232
6,9,2039,0.5787709534,0,0,0,0,0,1245,0.45,1.649991068e-07,5.05326942e-05,0,4224,596,0,0,3,0,0,0,0,0.0002704647567
7,2,2032,0.579112792,0,0,0,0,0,1305,0.35,2.435568391e-07,5.352963944e-05,0,4224,532,0,0,0,0,0,0,0,0.0003144135902
8,10,2040,0.579235664,0,0,0,0,0,1395,0.4,2.246098421e-07,2.530011304e-05,0,4352,564,0,0,2,0,0,0,0,0.0003454945413
9,3,2033,0.5812324226,0,0,0,0,0,1275,0.35,2.104122398e-07,3.196516503e-05,0,3968,596,0,0,1,0,0,0,0,0.0002675631577
10,11,2041,0.5823696226,0,0,0,0,0,1230,0.4,1.872045278e-07,4.509599586e-05,0,3968,580,0,0,3,0,0,0,0,0.0002877694954
