rank,trial_number,trial_id,objective_value,attention_dropout,attention_heads,batch_size,climate_activation,climate_processing,climate_units,dropout_rate,l2_reg,learning_rate,local_dem_units,na,nb,output_activation,regional_dem_units,temporal_units,use_cross_attention,use_multihead_attention,use_residual,use_spatial_attention,weight_decay
1,24,2069,0.3640905023,0,0,0,0,0,1380,0.4,2.006892344e-07,4.870369535e-05,0,4352,548,0,0,4,0,0,0,0,0.0002971579726
2,2,2047,0.3675251305,0,0,0,0,0,1305,0.35,2.435568391e-07,5.352963944e-05,0,4224,532,0,0,0,0,0,0,0,0.0003144135902
3,8,2053,0.3724144697,0,0,0,0,0,1320,0.45,1.703712965e-07,3.455130294e-05,0,4096,564,0,0,4,0,0,0,0,0.0003052514039
4,11,2056,0.3726264536,0,0,0,0,0,1350,0.4,1.810607504e-07,5.474067427e-05,0,4352,548,0,0,4,0,0,0,0,0.0003050969283
5,15,2060,0.3791153729,0,0,0,0,0,1440,0.45,2.308994899e-07,4.212550688e-05,0,4096,564,0,0,4,0,0,0,0,0.0002833862647
6,9,2054,0.3792955875,0,0,0,0,0,1245,0.45,1.649991068e-07,5.05326942e-05,0,4224,596,0,0,3,0,0,0,0,0.0002704647567
7,23,2068,0.3804028332,0,0,0,0,0,1320,0.35,1.715873407e-07,5.314258125e-05,0,4352,564,0,0,4,0,0,0,0,0.0002786880896
8,4,2049,0.3807866573,0,0,0,0,0,1335,0.35,1.657943827e-07,2.590758061e-05,0,4224,596,0,0,1,0,0,0,0,0.000239937232
9,18,2063,0.3825536668,0,0,0,0,0,1305,0.45,1.729179389e-07,4.431816327e-05,0,4096,564,0,0,4,0,0,0,0,0.0003244786675
10,16,2061,0.3828776181,0,0,0,0,0,1320,0.35,2.237158287e-07,3.373404687e-05,0,4352,532,0,0,0,0,0,0,0,0.0002865414068
