variable,status,shape_a,shape_b,mean_abs_diff,max_abs_diff
air_2m,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
air_temp_diff_1000_500,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
hgt_1000,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
hgt_500,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
merid_moist_700,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
merid_moist_925,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
omega_500,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
pottmp_diff_1000_500,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
pottmp_diff_1000_850,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
pr_wtr,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
shum_700,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
shum_925,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
skin_temp,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
slp,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
zon_moist_700,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
zon_moist_925,ok,"(804, 3, 3)","(804, 3, 3)",0.0,0.0
