fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.19553173333406448,0.19553173333406448,0.7760370969772339
2,0.1634148582816124,0.1634148582816124,0.8331917524337769
3,0.15512672066688538,0.15512672066688538,0.8310911655426025
4,0.18474899977445602,0.18474899977445602,0.808552622795105
5,0.1818736046552658,0.1818736046552658,0.7772066593170166
6,0.2320246398448944,0.2320246398448944,0.8063706755638123
7,0.19945963472127914,0.19945963472127914,0.7800551056861877
8,0.19411619752645493,0.19411619752645493,0.7994663119316101
9,0.20753082633018494,0.20753082633018494,0.7830613851547241
10,0.20051773637533188,0.20051773637533188,0.7980657815933228
