fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.21715780347585678,0.2171577885746956,0.7552816867828369
2,0.161678746342659,0.161678746342659,0.8302703499794006
3,0.18338129669427872,0.18338129669427872,0.8038934469223022
4,0.18458449840545654,0.18458448350429535,0.8098863959312439
5,0.18331603705883026,0.18331602215766907,0.7861690521240234
6,0.2166956439614296,0.2166956216096878,0.8052926659584045
7,0.2088601365685463,0.2088601365685463,0.7815077304840088
8,0.21615295112133026,0.21615294367074966,0.7838993072509766
9,0.1816089153289795,0.1816088929772377,0.7955275177955627
10,0.18421877175569534,0.18421876430511475,0.8139512538909912
