fold,val_loss_criterion,val_mse_unweighted,val_r2
1,0.2119627296924591,0.2119627147912979,0.7800133228302002
2,0.17925453931093216,0.17925452440977097,0.8097584843635559
3,0.1661059558391571,0.1661059409379959,0.822080135345459
4,0.19810288399457932,0.19810288399457932,0.8036344647407532
5,0.21059322357177734,0.21059321612119675,0.7473182678222656
6,0.24849723279476166,0.24849723279476166,0.7900750637054443
7,0.20105775445699692,0.20105773955583572,0.7815964818000793
8,0.20034166425466537,0.20034165680408478,0.8018419742584229
9,0.18860070407390594,0.18860068917274475,0.7858386039733887
10,0.20430610328912735,0.20430608838796616,0.7938350439071655
