station,air_temp_diff_1000_500,air_2m,hgt_1000,hgt_500,omega_500,pottmp_diff_1000_500,pr_wtr,shum_750,shum_925,zon_moist_750,zon_moist_925,merid_moist_750,merid_moist_925,skin_temp,slp
aasu_UH,-0.21904612999438644,-0.30994486971166724,-0.18132525412414854,-0.18483173106274187,-0.44178127765701003,-0.1858502335020617,0.5350479042428343,0.5207949205346414,0.38627575487256366,-0.06023225915234899,-0.02334904519114095,-0.30223624174309566,-0.14193473694738176,0.0422314593213069,-0.17775966283281308
aasufou80,-0.08307322065030223,-0.12202968457181257,-0.10183694491243517,-0.12875771483633194,-0.25778678248165376,-0.0647653843363819,0.32857433327747965,0.3351088148953516,0.2205842031277544,-0.0014959466160501425,0.024275432067947328,-0.1770308580299032,-0.12749081719791344,0.039616568864650606,-0.09998317712268087
aasufou90,-0.4291862091887505,-0.39688942600622346,-0.08122526620210627,-0.03577553051912702,-0.3726699653824709,-0.3923645530581293,0.5602793273946256,0.5564767367325204,0.4015996713406413,-0.2438397303310918,-0.10492300406145857,-0.2542161171607292,-0.12776668890237494,-0.06381544902294362,-0.07530273012917632
afono_UH,-0.2667470947705309,-0.3773031796859015,-0.20364607909894542,-0.20253529459654318,-0.417658058714118,-0.23047619432869557,0.5318012904257586,0.5294164307774967,0.37540996077147304,-0.02219099490752646,0.051523275856397495,-0.267467289759413,-0.1521723485436705,0.028678955835886824,-0.19932231066331862
airport5101,-0.2295869310978286,-0.25540557989582346,-0.15727609365688697,-0.11676102227117552,-0.4609948209372372,-0.2002486569916432,0.5532580746166246,0.5682510531840399,0.4075519209033999,-0.1596653215219323,0.0002691346822759903,-0.3070131310947343,-0.19416893487950607,0.12369578476394757,-0.1537581044649498
airport80,-0.10377535510193497,-0.13521641932016346,-0.20695662623229896,-0.21436716846436213,-0.42915022011094617,-0.0856240587658255,0.4966973450593053,0.4948825471787958,0.377606473830778,-0.013456410290049596,0.07257390172285477,-0.29992018049662084,-0.25619606759308633,0.1137011550951895,-0.20476100977872036
aoloafou,-0.24200028166859344,-0.2430624166336404,-0.15394675029985228,-0.12757415015465876,-0.42981618932914895,-0.21361220145913656,0.519475130158706,0.55115166621098,0.3626988375554249,-0.14439050696078698,-0.053509803419540876,-0.2026879250705445,-0.1297332962969869,0.06367875808537994,-0.15061720625932373
aua,-0.07283880620650472,-0.0026421468435490125,-0.03612762339718036,0.0015124872416428692,-0.10171711992512726,-0.07407252302833359,0.13472768082450107,0.12691893773649265,0.09666772658827721,-0.016751681105463177,0.006420193594477358,-0.1000842584226962,-0.10568894197560144,0.05376492487854441,-0.036424927361112885
aunuu,0.0018625649013781472,-0.15317168319519975,-0.21581647284569036,-0.22369070939977703,-0.40310079453567155,0.01931007930185305,0.5328473259607981,0.5343589386827801,0.35512971402441224,-0.07788123336771795,0.060358342912394024,-0.24625673691365416,-0.2559218028939845,0.18986602733199393,-0.21267188567349743
aunuu_UH,-0.1999157383687533,-0.19952771560750207,-0.22149908990912046,-0.13665144611551971,-0.4210448616565099,-0.1923107870423499,0.46537047412388716,0.4841518075478685,0.30264080311401886,0.1041894545393894,0.14981842551250804,-0.2656201889553255,-0.183122422795627,0.14572926256701438,-0.2184870309818009
fagaitua,-0.15190728149908878,-0.19451255998921577,-0.1843712552188973,-0.15144281077043867,-0.45159880306638,-0.12927914333382992,0.5428111041402751,0.5391761876304104,0.37447079785820386,-0.044813793183015496,0.07038974182034169,-0.29234641416981083,-0.2361700920561193,0.1179287297875184,-0.18101446226500104
iliili,-0.24771521411726063,-0.27801917449300495,-0.20210507903682276,-0.15869027762185534,-0.46822758663283753,-0.223508828531013,0.6078843170679548,0.5757201161387149,0.45750288420587776,-0.036619474901307035,0.13008590261867253,-0.3415692816813837,-0.3084333968696048,0.21541189355412885,-0.19874510298731618
malaeimi,-0.21648768658479586,-0.17375096664040693,-0.31090167675336355,-0.13972349915762433,-0.38552647341451524,-0.21078119988114727,0.5667802485713872,0.5882480620433135,0.46767050210584904,-0.08666049496355842,-0.009925504894106376,-0.25682931077876264,-0.24640859132521184,0.14109919653579536,-0.3071149163197677
malaeimi_1691,-0.10183562746960259,-0.1424462683903869,-0.09516056102043689,-0.085421425825633,-0.27270793667952936,-0.08433428978604281,0.36484004659234925,0.37226756539890726,0.2476235888997672,-0.09129474563903485,-0.019921549612442257,-0.2130707308850841,-0.15901820429276597,0.06332129236786857,-0.09352783063482703
