station,n_total,n_train,n_val,n_test,yr_min,yr_max,yr_span,yr_gaps,pct_zero,mean_mm,std_mm,max_mm,skewness,kurtosis,train_std_mm,elev_m
aasu_UH,1515,1060,303,152,2017,2023,7,1,20.0,11.872620582580566,20.6895694732666,287.78216552734375,4.152217864990234,30.39834213256836,22.980907440185547,358.39068603515625
aasufou80,7225,5057,1445,723,1980,2000,21,0,46.72664359861592,14.399392127990723,29.451372146606445,342.64599609375,4.036652565002441,23.654993057250977,29.850568771362305,404.4531555175781
aasufou90,341,238,68,35,1999,2000,2,0,18.7683284457478,12.541341781616211,22.335962295532227,171.1959991455078,3.507668972015381,15.507802963256836,21.56391716003418,402.1969299316406
afono_UH,2455,1718,491,246,2017,2024,8,0,29.124236252545828,10.477010726928711,20.105932235717773,193.54811096191406,3.670860767364502,17.813873291015625,21.816625595092773,80.0859375
airport5101,1606,1124,321,161,1999,2004,6,0,31.133250311332507,8.636923789978027,17.14842414855957,253.8000030517578,4.569214344024658,37.298702239990234,16.89925193786621,2.195312261581421
airport80,3286,2300,657,329,1980,1989,10,0,32.501521606816794,8.39498519897461,18.052217483520508,176.2760009765625,4.299137115478516,24.642478942871094,19.157339096069336,8.054688453674316
aoloafou,2219,1553,443,223,2000,2008,9,0,35.286164939161786,13.221049308776855,24.589031219482422,236.22000122070312,3.5074572563171387,16.61929702758789,23.49655532836914,390.1015625
aua,1050,735,210,105,1993,1996,4,0,61.142857142857146,14.70611572265625,31.080480575561523,269.239990234375,3.5966382026672363,17.841285705566406,32.56623458862305,67.6953125
aunuu,1231,861,246,124,1997,2002,6,0,58.81397238017871,5.651551723480225,13.993786811828613,137.16000366210938,4.520933628082275,25.59490394592285,14.354474067687988,38.1640625
aunuu_UH,366,256,73,37,2022,2024,3,0,36.0655737704918,7.851813316345215,15.512187004089355,137.924072265625,3.6712193489074707,18.669282913208008,13.69957160949707,36.1171875
fagaitua,3497,2447,699,351,1997,2008,12,0,44.2951100943666,8.531262397766113,17.725936889648438,281.94000244140625,4.397636413574219,32.003562927246094,17.437952041625977,36.88149642944336
iliili,346,242,69,35,2000,2001,2,0,31.502890173410403,8.731213569641113,16.738447189331055,124.0,3.245344400405884,13.140056610107422,17.266677856445312,65.78125
malaeimi,426,298,85,43,2003,2004,2,0,22.065727699530516,12.13099193572998,23.552743911743164,275.0001525878906,5.114110469818115,41.79715347290039,25.158004760742188,50.4921875
malaeimi_1691,6013,4209,1202,602,1990,2008,19,0,45.069017129552634,12.546112060546875,26.07274627685547,335.2799987792969,4.210689544677734,26.1866455078125,26.859460830688477,44.03125
maloata,423,296,84,43,2000,2001,2,0,23.404255319148938,11.139013290405273,20.721820831298828,226.60012817382812,4.506998538970947,32.01643371582031,22.219905853271484,39.6953125
masefau,534,373,106,55,2001,2004,4,0,27.52808988764045,8.524162292480469,16.424402236938477,129.80006408691406,3.725451946258545,17.66381072998047,16.442283630371094,208.5
matatula,396,277,79,40,2001,2002,2,0,41.41414141414141,6.706569671630859,13.921142578125,105.70005798339844,3.505051374435425,14.771553039550781,13.711445808410645,72.64082336425781
mt_alava,704,492,140,72,2000,2002,3,0,20.59659090909091,10.28707504272461,18.35492706298828,161.8000030517578,3.3681273460388184,14.666339874267578,17.797142028808594,439.6796875
pioa_afono,5063,3544,1012,507,1980,1997,18,1,50.93817894528936,10.871681213378906,23.37908935546875,256.0320129394531,3.841904640197754,19.830135345458984,22.73612403869629,257.4765625
poloa_UH,1992,1394,398,200,2019,2024,6,0,26.506024096385545,9.844550132751465,18.863927841186523,190.7541046142578,3.95706844329834,21.922496795654297,18.158771514892578,147.9140625
satala,3534,2473,706,355,1997,2008,12,0,37.521222410865875,11.106067657470703,21.311765670776367,320.0400085449219,4.3882737159729,32.67374038696289,20.94485855102539,8.117188453674316
siufaga_WRCC,3122,2185,624,313,2015,2023,9,0,25.144138372837926,9.77354907989502,17.74445343017578,208.0260009765625,3.6741011142730713,19.345367431640625,18.930875778198242,112.625
toa_ridge_WRCC,3216,2251,643,322,2015,2024,10,0,27.300995024875625,7.909304141998291,14.500179290771484,165.10000610351562,3.7974348068237305,20.592517852783203,14.380417823791504,357.3486328125
vaipito2000,3716,2601,743,372,1980,1991,12,0,54.22497308934338,6.938930034637451,14.84328556060791,155.19400024414062,3.539907693862915,16.8345947265625,14.609230041503906,198.25022888183594
vaipito_UH,1979,1385,395,199,2019,2024,6,0,20.970186963112685,11.634207725524902,20.028289794921875,185.9281005859375,3.2537729740142822,14.234151840209961,19.47405242919922,91.48170471191406
vaipito_res,4327,3028,865,434,1989,2008,20,4,39.611740235729144,11.796119689941406,23.87230110168457,467.3599853515625,5.1886396408081055,51.55054473876953,23.940303802490234,86.43507385253906
