year_month,monthly_total_precip_in
1997-12,7.1
1998-01,18.6
1998-02,4.1
1998-03,20.2
1998-04,2.9000000000000004
1998-05,
1998-06,
1998-07,4.5
1998-08,2.9
1998-09,8.500000000000002
1998-10,10.100000000000001
1998-11,8.1
1998-12,18.200000000000003
1999-01,15.499999999999998
1999-02,14.899999999999999
1999-03,6.900000000000001
1999-04,6.3
1999-05,34.39999999999999
1999-06,6.400000000000001
1999-07,6.8
1999-08,4.9
1999-09,19.900000000000002
1999-10,15.1
1999-11,12.1
1999-12,10.1
2000-01,20.300000000000004
2000-02,15.7
2000-03,26.200000000000003
2000-04,12.5
2000-05,16.0
2000-06,11.77
2000-07,
2000-08,
2000-09,13.299999999999999
2000-10,
2000-11,
2000-12,11.8
2001-01,12.2
2001-02,17.5
2001-03,25.5
2001-04,9.799999999999997
2001-05,9.6
2001-06,12.2
2001-07,10.0
2001-08,10.0
2001-09,13.700000000000001
2001-10,17.800000000000004
2001-11,10.199999999999998
2001-12,26.2
2002-01,10.0
2002-02,9.2
2002-03,
2002-04,
2002-05,13.499999999999998
2002-06,8.8
2002-07,
2002-08,
2002-09,
2002-10,18.500000000000004
2002-11,16.400000000000002
2002-12,
2003-01,
2003-02,
2003-03,10.799999999999999
2003-04,9.8
2003-05,
2003-06,
2003-07,20.1
2003-08,
2003-09,
2003-10,0.0
2003-11,22.10000000000001
2003-12,18.400000000000006
2004-01,12.399999999999999
2004-02,12.799999999999999
2004-03,17.099999999999998
2004-04,10.599999999999998
2004-05,3.6
2004-06,6.0
2004-07,10.200000000000001
2004-08,4.700000000000001
2004-09,8.5
2004-10,20.000000000000004
2004-11,8.1
2004-12,11.100000000000001
2005-01,16.0
2005-02,11.7
2005-03,13.5
2005-04,12.3
2005-05,14.9
2005-06,13.299999999999999
2005-07,9.1
2005-08,17.700000000000003
2005-09,19.9
2005-10,6.300000000000001
2005-11,12.900000000000002
2005-12,21.200000000000003
2006-01,25.3
2006-02,
2006-03,8.200000000000001
2006-04,8.299999999999999
2006-05,8.399999999999999
2006-06,6.599999999999999
2006-07,13.099999999999998
2006-08,10.900000000000002
2006-09,
2006-10,
2006-11,19.8
2006-12,25.6
2007-01,
2007-02,
2007-03,
2007-04,6.3999999999999995
2007-05,21.79
2007-06,5.630000000000001
2007-07,
2007-08,
2007-09,
2007-10,17.96
2007-11,17.67
2007-12,22.830000000000002
2008-01,25.97
2008-02,10.64
2008-03,14.229999999999999
2008-04,8.450000000000001
2008-05,16.65
2008-06,11.629999999999997
2008-07,
2008-08,3.63
2008-09,11.86
2008-10,2.88
