year_month,monthly_total_precip_in
1989-10,9.28
1989-11,15.479999999999997
1989-12,5.17
1990-01,8.47
1990-02,
1990-03,
1990-04,
1990-05,
1990-06,6.23
1990-07,2.9099999999999997
1990-08,2.57
1990-09,
1990-10,
1990-11,
1990-12,
1991-01,
1991-02,
1991-03,
1991-04,
1991-05,
1991-06,
1991-07,
1991-08,
1991-09,
1991-10,
1991-11,
1991-12,
1992-01,
1992-02,
1992-03,
1992-04,
1992-05,
1992-06,
1992-07,
1992-08,
1992-09,
1992-10,
1992-11,
1992-12,
1993-01,
1993-02,
1993-03,
1993-04,
1993-05,
1993-06,
1993-07,
1993-08,
1993-09,
1993-10,
1993-11,
1993-12,
1994-01,
1994-02,
1994-03,
1994-04,
1994-05,
1994-06,
1994-07,
1994-08,
1994-09,
1994-10,
1994-11,
1994-12,
1995-01,
1995-02,
1995-03,
1995-04,
1995-05,
1995-06,
1995-07,
1995-08,19.9
1995-09,9.0
1995-10,9.799999999999999
1995-11,12.100000000000001
1995-12,4.4
1996-01,9.600000000000001
1996-02,17.0
1996-03,19.200000000000003
1996-04,10.7
1996-05,9.399999999999997
1996-06,12.0
1996-07,7.499999999999999
1996-08,
1996-09,
1996-10,21.5
1996-11,13.299999999999999
1996-12,16.599999999999998
1997-01,31.700000000000003
1997-02,12.400000000000002
1997-03,12.1
1997-04,12.0
1997-05,13.2
1997-06,0.0
1997-07,7.2
1997-08,20.400000000000002
1997-09,14.6
1997-10,8.700000000000001
1997-11,10.700000000000001
1997-12,
1998-01,
1998-02,4.1
1998-03,22.100000000000005
1998-04,
1998-05,
1998-06,8.600000000000001
1998-07,6.3
1998-08,4.3
1998-09,11.1
1998-10,12.299999999999999
1998-11,9.9
1998-12,19.4
1999-01,
1999-02,
1999-03,
1999-04,6.0
1999-05,34.8
1999-06,7.7
1999-07,4.2
1999-08,4.8999999999999995
1999-09,22.099999999999998
1999-10,14.7
1999-11,13.400000000000002
1999-12,12.600000000000001
2000-01,19.200000000000003
2000-02,18.3
2000-03,25.799999999999997
2000-04,11.7
2000-05,16.2
2000-06,16.3
2000-07,9.6
2000-08,5.000000000000001
2000-09,12.3
2000-10,
2000-11,
2000-12,12.2
2001-01,
2001-02,
2001-03,
2001-04,
2001-05,9.8
2001-06,13.7
2001-07,13.499999999999998
2001-08,7.799999999999999
2001-09,2.2000000000000006
2001-10,
2001-11,
2001-12,27.200000000000003
2002-01,13.4
2002-02,11.5
2002-03,17.599999999999998
2002-04,21.6
2002-05,18.8
2002-06,10.799999999999999
2002-07,18.7
2002-08,
2002-09,
2002-10,30.3
2002-11,19.200000000000003
2002-12,15.6
2003-01,12.6
2003-02,14.5
2003-03,11.5
2003-04,11.9
2003-05,34.300000000000004
2003-06,13.899999999999999
2003-07,24.699999999999996
2003-08,16.9
2003-09,9.099999999999998
2003-10,8.4
2003-11,25.1
2003-12,
2004-01,
2004-02,
2004-03,
2004-04,
2004-05,
2004-06,
2004-07,12.500000000000002
2004-08,6.1000000000000005
2004-09,
2004-10,
2004-11,7.2
2004-12,6.699999999999999
2005-01,11.899999999999999
2005-02,11.799999999999999
2005-03,
2005-04,15.999999999999998
2005-05,18.400000000000002
2005-06,18.7
2005-07,13.399999999999999
2005-08,19.0
2005-09,21.3
2005-10,6.6
2005-11,16.299999999999997
2005-12,25.3
2006-01,29.099999999999994
2006-02,
2006-03,9.1
2006-04,
2006-05,
2006-06,
2006-07,17.200000000000003
2006-08,12.799999999999999
2006-09,
2006-10,
2006-11,
2006-12,
2007-01,
2007-02,17.200000000000006
2007-03,
2007-04,5.799999999999999
2007-05,24.849999999999998
2007-06,11.54
2007-07,8.849999999999998
2007-08,7.399999999999999
2007-09,22.749999999999996
2007-10,20.34
2007-11,20.69
2007-12,28.080000000000002
2008-01,26.959999999999997
2008-02,8.899999999999999
2008-03,14.120000000000001
2008-04,11.580000000000002
2008-05,23.270000000000003
2008-06,13.450000000000001
2008-07,9.98
2008-08,5.17
2008-09,10.32
2008-10,3.1500000000000004
