,datetime,precip_in
1,7/1/1999,0
2,7/2/1999,0.291338583
3,7/3/1999,0
4,7/4/1999,0.011811024
5,7/5/1999,NA
6,7/6/1999,NA
7,7/7/1999,NA
8,7/8/1999,0.141732283
9,7/9/1999,0.338582677
10,7/10/1999,0.11023622
11,7/11/1999,0.090551181
12,7/12/1999,0.070866142
13,7/13/1999,0.031496063
14,7/14/1999,0.051181102
15,7/15/1999,0
16,7/16/1999,0
17,7/17/1999,0.118110236
18,7/18/1999,0.251968504
19,7/19/1999,0.078740157
20,7/20/1999,0.409448819
21,7/21/1999,0.251968504
22,7/22/1999,0
23,7/23/1999,0
24,7/24/1999,0
25,7/25/1999,0
26,7/26/1999,0
27,7/27/1999,0.220472441
28,7/28/1999,0.118110236
29,7/29/1999,0
30,7/30/1999,0.12992126
31,7/31/1999,0.818897638
32,8/1/1999,0.850393701
33,8/2/1999,0.480314961
34,8/3/1999,0
35,8/4/1999,0.059055118
36,8/5/1999,0
37,8/6/1999,0.070866142
38,8/7/1999,0.059055118
39,8/8/1999,0
40,8/9/1999,0
41,8/10/1999,0
42,8/11/1999,0
43,8/12/1999,0
44,8/13/1999,0
45,8/14/1999,0.559055118
46,8/15/1999,0.059055118
47,8/16/1999,0.299212598
48,8/17/1999,0
49,8/18/1999,0
50,8/19/1999,2.318897638
51,8/20/1999,0
52,8/21/1999,0
53,8/22/1999,0.078740157
54,8/23/1999,0.12992126
55,8/24/1999,0.059055118
56,8/25/1999,0.051181102
57,8/26/1999,0
58,8/27/1999,1.149606299
59,8/28/1999,0
60,8/29/1999,0
61,8/30/1999,0
62,8/31/1999,0
63,9/1/1999,0
64,9/2/1999,0.200787402
65,9/3/1999,2.5
66,9/4/1999,0.078740157
67,9/5/1999,0.208661417
68,9/6/1999,0
69,9/7/1999,0
70,9/8/1999,0.228346457
71,9/9/1999,0.590551181
72,9/10/1999,0
73,9/11/1999,0.921259843
74,9/12/1999,0
75,9/13/1999,0.409448819
76,9/14/1999,1.011811024
77,9/15/1999,4.25984252
78,9/16/1999,0.480314961
79,9/17/1999,0.059055118
80,9/18/1999,0.031496063
81,9/19/1999,0.011811024
