,datetime,precip_in
1,2/27/2003,1.188976378
2,2/28/2003,0.011811024
3,3/1/2003,0.019685039
4,3/2/2003,0.381889764
5,3/3/2003,2.25984252
6,3/4/2003,0
7,3/5/2003,0.350393701
8,3/6/2003,0.779527559
9,3/7/2003,0.181102362
10,3/8/2003,0.11023622
11,3/9/2003,0.098425197
12,3/10/2003,0.011811024
13,3/11/2003,0
14,3/12/2003,0
15,3/13/2003,0.590551181
16,3/14/2003,0.5
17,3/15/2003,0.688976378
18,3/16/2003,0
19,3/17/2003,0.019685039
20,3/18/2003,0.070866142
21,3/19/2003,1.188976378
22,3/20/2003,0.929133858
23,3/21/2003,0.37007874
24,3/22/2003,1.440944882
25,3/23/2003,0.011811024
26,3/24/2003,0.350393701
27,3/25/2003,0.901574803
28,3/26/2003,0.771653543
29,3/27/2003,0.011811024
30,3/28/2003,1.980314961
31,3/29/2003,0.661417323
32,3/30/2003,0.161417323
33,3/31/2003,0.5
34,4/1/2003,0.251968504
35,4/2/2003,0.019685039
36,4/3/2003,0.019685039
37,4/4/2003,0.031496063
38,4/5/2003,0.118110236
39,4/6/2003,0.960629921
40,4/7/2003,0.811023622
41,4/8/2003,0.228346457
42,4/9/2003,0.62992126
43,4/10/2003,3.070866142
44,4/11/2003,0.181102362
45,4/12/2003,1.720472441
46,4/13/2003,1.019685039
47,4/14/2003,0.299212598
48,4/15/2003,0
49,4/16/2003,0
50,4/17/2003,0.25984252
51,4/18/2003,0.24015748
52,4/19/2003,0.748031496
53,4/20/2003,0.799212598
54,4/21/2003,0.598425197
55,4/22/2003,0.318897638
56,4/23/2003,0.031496063
57,4/24/2003,0
58,4/25/2003,0
59,4/26/2003,0
60,4/27/2003,0
61,4/28/2003,0
62,4/29/2003,0.078740157
63,4/30/2003,0.161417323
64,5/1/2003,0.011811024
65,5/2/2003,0.62992126
66,5/3/2003,0
67,5/4/2003,0.031496063
68,5/5/2003,0.031496063
69,5/6/2003,0.019685039
70,5/7/2003,0.169291339
71,5/8/2003,0.228346457
72,5/9/2003,0.251968504
73,5/10/2003,0.279527559
74,5/11/2003,0.551181102
75,5/12/2003,0.141732283
76,5/13/2003,0
77,5/14/2003,0.141732283
78,5/15/2003,0.070866142
79,5/16/2003,0.681102362
80,5/17/2003,2.720472441
81,5/18/2003,1.728346457
82,5/19/2003,10.82677165
83,5/20/2003,1.161417323
84,5/21/2003,0
85,5/22/2003,0.011811024
86,5/23/2003,0.118110236
87,5/24/2003,0.011811024
88,5/25/2003,0.039370079
89,5/26/2003,0
90,5/27/2003,0.161417323
91,5/28/2003,0.531496063
92,5/29/2003,1.169291339
93,5/30/2003,0.051181102
94,5/31/2003,0.220472441
95,6/1/2003,0.011811024
96,6/2/2003,0.019685039
97,6/3/2003,0.098425197
98,6/4/2003,0.059055118
99,6/5/2003,0.511811024
100,6/6/2003,0.811023622
101,6/7/2003,1.468503937
102,6/8/2003,0.748031496
103,6/9/2003,0
104,6/10/2003,0
105,6/11/2003,0.039370079
106,6/12/2003,0
107,6/13/2003,5.11023622
108,6/14/2003,0
109,6/15/2003,0.039370079
110,6/16/2003,0
111,6/17/2003,0
112,6/18/2003,0
113,6/19/2003,0
114,6/20/2003,0.031496063
115,6/21/2003,0
116,6/22/2003,0
117,6/23/2003,0
118,6/24/2003,0
119,6/25/2003,0.031496063
120,6/26/2003,0.031496063
121,6/27/2003,0.011811024
122,6/28/2003,0
123,6/29/2003,0.149606299
124,6/30/2003,0.251968504
125,7/1/2003,0.181102362
126,7/2/2003,0.090551181
127,7/3/2003,0
128,7/4/2003,0
129,7/5/2003,0
130,7/6/2003,0
131,7/7/2003,0
132,7/8/2003,0.200787402
133,7/9/2003,1.12992126
134,7/10/2003,0.011811024
135,7/11/2003,0.968503937
136,7/12/2003,0.74015748
137,7/13/2003,0.799212598
138,7/14/2003,0
139,7/15/2003,0
140,7/16/2003,0.338582677
141,7/17/2003,0.960629921
142,7/18/2003,0.070866142
143,7/19/2003,0.011811024
144,7/20/2003,0.578740157
145,7/21/2003,0.051181102
146,7/22/2003,0.208661417
147,7/23/2003,1.318897638
148,7/24/2003,1.228346457
149,7/25/2003,6.488188976
150,7/26/2003,2.350393701
151,7/27/2003,0.661417323
152,7/28/2003,1.87007874
153,7/29/2003,0.5
154,7/30/2003,0.019685039
155,7/31/2003,0.468503937
156,8/1/2003,0.38976378
157,8/2/2003,0.011811024
158,8/3/2003,0.011811024
159,8/4/2003,0.11023622
160,8/5/2003,0
161,8/6/2003,0.25984252
162,8/7/2003,0.358267717
163,8/8/2003,2.141732283
164,8/9/2003,0.271653543
165,8/10/2003,0.228346457
166,8/11/2003,0.570866142
167,8/12/2003,0.078740157
168,8/13/2003,1.122047244
169,8/14/2003,0.350393701
170,8/15/2003,0
171,8/16/2003,0
172,8/17/2003,0
173,8/18/2003,0.291338583
174,8/19/2003,1.940944882
175,8/20/2003,0
176,8/21/2003,0.881889764
177,8/22/2003,0.051181102
178,8/23/2003,0.039370079
179,8/24/2003,0.37007874
180,8/25/2003,0
181,8/26/2003,0
182,8/27/2003,0.539370079
183,8/28/2003,0
184,8/29/2003,0.161417323
185,8/30/2003,0.051181102
186,8/31/2003,0.019685039
187,9/1/2003,0.019685039
188,9/2/2003,1.090551181
189,9/3/2003,0.421259843
190,9/4/2003,0
191,9/5/2003,0.031496063
192,9/6/2003,0.011811024
193,9/7/2003,0
194,9/8/2003,0
195,9/9/2003,0.051181102
196,9/10/2003,0.011811024
197,9/11/2003,0
198,9/12/2003,2.720472441
199,9/13/2003,0
200,9/14/2003,0.338582677
201,9/15/2003,0.039370079
202,9/16/2003,0.149606299
203,9/17/2003,0.031496063
204,9/18/2003,0.019685039
205,9/19/2003,0.019685039
206,9/20/2003,0.059055118
207,9/21/2003,0.011811024
208,9/22/2003,2.551181102
209,9/23/2003,0.181102362
210,9/24/2003,0.051181102
211,9/25/2003,0
212,9/26/2003,0.059055118
213,9/27/2003,0.208661417
214,9/28/2003,0.11023622
215,9/29/2003,0
216,9/30/2003,0.019685039
217,10/1/2003,0.409448819
218,10/2/2003,0
219,10/3/2003,0
220,10/4/2003,0.039370079
221,10/5/2003,0.011811024
222,10/6/2003,0
223,10/7/2003,0
224,10/8/2003,0
225,10/9/2003,0
226,10/10/2003,0
227,10/11/2003,0.011811024
228,10/12/2003,0
229,10/13/2003,0.011811024
230,10/14/2003,0
231,10/15/2003,0
232,10/16/2003,0.031496063
233,10/17/2003,0
234,10/18/2003,0.059055118
235,10/19/2003,2.161417323
236,10/20/2003,0.051181102
237,10/21/2003,0
238,10/22/2003,0.039370079
239,10/23/2003,0.039370079
240,10/24/2003,1.940944882
241,10/25/2003,0.019685039
242,10/26/2003,0
243,10/27/2003,0.098425197
244,10/28/2003,0.681102362
245,10/29/2003,0.838582677
246,10/30/2003,0.011811024
247,10/31/2003,0
248,11/1/2003,0.188976378
249,11/2/2003,0.11023622
250,11/3/2003,0.019685039
251,11/4/2003,0.208661417
252,11/5/2003,0.070866142
253,11/6/2003,0.019685039
254,11/7/2003,0.090551181
255,11/8/2003,0.141732283
256,11/9/2003,0.708661417
257,11/10/2003,0.799212598
258,11/11/2003,1.208661417
259,11/12/2003,0.37007874
260,11/13/2003,0.88976378
261,11/14/2003,0.421259843
262,11/15/2003,4.338582677
263,11/16/2003,1.031496063
264,11/17/2003,2.700787402
265,11/18/2003,1.531496063
266,11/19/2003,2.88976378
267,11/20/2003,0.940944882
268,11/21/2003,0
269,11/22/2003,0.011811024
270,11/23/2003,1.5
271,11/24/2003,0
272,11/25/2003,0.338582677
273,11/26/2003,0.169291339
274,11/27/2003,0.011811024
275,11/28/2003,0.968503937
276,11/29/2003,1.019685039
277,11/30/2003,0.559055118
278,12/1/2003,1.728346457
279,12/2/2003,0.251968504
280,12/3/2003,1.279527559
281,12/4/2003,2.188976378
282,12/5/2003,0.468503937
283,12/6/2003,0.051181102
284,12/7/2003,0.070866142
285,12/8/2003,1.618110236
286,12/9/2003,0
287,12/10/2003,0.909448819
288,12/11/2003,0.039370079
289,12/12/2003,0.11023622
290,12/13/2003,1.799212598
291,12/14/2003,0.031496063
292,12/15/2003,0.850393701
293,12/16/2003,0.641732283
294,12/17/2003,0.149606299
295,12/18/2003,0.291338583
296,12/19/2003,0.681102362
297,12/20/2003,0.200787402
298,12/21/2003,0.208661417
299,12/22/2003,3.779527559
300,12/23/2003,0.011811024
301,12/24/2003,0
302,12/25/2003,0
303,12/26/2003,0.37007874
304,12/27/2003,0
305,12/28/2003,0
306,12/29/2003,0.409448819
307,12/30/2003,0.62992126
