,datetime,precip_in
1,1/24/1980,0.79
2,1/25/1980,0.86
3,1/26/1980,NA
4,1/27/1980,NA
5,1/28/1980,0.96
6,1/29/1980,0.02
7,1/30/1980,0.1
8,1/31/1980,0.88
9,2/1/1980,0.27
10,2/2/1980,0.06
11,2/3/1980,0.34
12,2/4/1980,0.01
13,2/5/1980,0.16
14,2/6/1980,0
15,2/7/1980,1.05
16,2/8/1980,0.23
17,2/9/1980,2.77
18,2/10/1980,0.75
19,2/11/1980,0
20,2/12/1980,0.01
21,2/13/1980,0.16
22,2/14/1980,0.13
23,2/15/1980,0
24,2/16/1980,0.57
25,2/17/1980,0.17
26,2/18/1980,0.02
27,2/19/1980,0.51
28,2/20/1980,0
29,2/21/1980,0
30,2/22/1980,0.05
31,2/23/1980,0.33
32,2/24/1980,0
33,2/25/1980,0.49
34,2/26/1980,0.58
35,2/27/1980,0
36,2/28/1980,0.05
37,2/29/1980,0.38
38,3/1/1980,0.33
39,3/2/1980,0.18
40,3/3/1980,0.17
41,3/4/1980,0.21
42,3/5/1980,0
43,3/6/1980,0.22
44,3/7/1980,3.01
45,3/8/1980,0
46,3/9/1980,0
47,3/10/1980,0.02
48,3/11/1980,0.1
49,3/12/1980,0.27
50,3/13/1980,0.38
51,3/14/1980,0.3
52,3/15/1980,0.4
53,3/16/1980,0.08
54,3/17/1980,0.19
55,3/18/1980,1.59
56,3/19/1980,0.12
57,3/20/1980,0.4
58,3/21/1980,0
59,3/22/1980,0.19
60,3/23/1980,0.49
61,3/24/1980,0.51
62,3/25/1980,0.97
63,3/26/1980,1.95
64,3/27/1980,1.46
65,3/28/1980,0.24
66,3/29/1980,1
67,3/30/1980,0.05
68,3/31/1980,0.21
69,4/1/1980,0.88
70,4/2/1980,0.05
71,4/3/1980,1.7
72,4/4/1980,1.69
73,4/5/1980,0.07
74,4/6/1980,0
75,4/7/1980,0.11
76,4/8/1980,0
77,4/9/1980,0.06
78,4/10/1980,0.07
79,4/11/1980,0.01
80,4/12/1980,0.04
81,4/13/1980,0.27
82,4/14/1980,0.29
83,4/15/1980,0.34
84,4/16/1980,0.02
85,4/17/1980,0.3
86,4/18/1980,0.02
87,4/19/1980,0.08
88,4/20/1980,0.3
89,4/21/1980,0.07
90,4/22/1980,0.06
91,4/23/1980,0.8
92,4/24/1980,0.36
93,4/25/1980,0.03
94,4/26/1980,0.04
95,4/27/1980,0.7
96,4/28/1980,0.01
97,4/29/1980,0.02
98,4/30/1980,0.29
99,5/1/1980,0
