,datetime,precip_in
1,12/13/2001,0
2,12/14/2001,0.75984252
3,12/15/2001,1.228346457
4,12/16/2001,0.12992126
5,12/17/2001,0.070866142
6,12/18/2001,0
7,12/19/2001,0
8,12/20/2001,0
9,12/21/2001,0.181102362
10,12/22/2001,0
11,12/23/2001,0
12,12/24/2001,0.181102362
13,12/25/2001,0.37007874
14,12/26/2001,2.830708661
15,12/27/2001,0.5
16,12/28/2001,0.409448819
17,12/29/2001,0.188976378
18,12/30/2001,0.708661417
19,12/31/2001,0.188976378
20,1/1/2002,2.019685039
21,1/2/2002,0.88976378
22,1/3/2002,0.220472441
23,1/4/2002,0.011811024
24,1/5/2002,0
25,1/6/2002,0.440944882
26,1/7/2002,0.078740157
27,1/8/2002,0.011811024
28,1/9/2002,0
29,1/10/2002,0.039370079
30,1/11/2002,0.011811024
31,1/12/2002,0
32,1/13/2002,0.279527559
33,1/14/2002,0.051181102
34,1/15/2002,0.141732283
35,1/16/2002,2.299212598
36,1/17/2002,0.338582677
37,1/18/2002,0.992125984
38,1/19/2002,0.251968504
39,1/20/2002,0.161417323
40,1/21/2002,0.38976378
41,1/22/2002,0
42,1/23/2002,0
43,1/24/2002,0
44,1/25/2002,0.181102362
45,1/26/2002,0
46,1/27/2002,0.11023622
47,1/28/2002,0
48,1/29/2002,0
49,1/30/2002,0
50,1/31/2002,0.11023622
51,2/1/2002,0.070866142
52,2/2/2002,0.031496063
53,2/3/2002,0
54,2/4/2002,0
55,2/5/2002,0
56,2/6/2002,0
57,2/7/2002,0.039370079
58,2/8/2002,0.850393701
59,2/9/2002,0.161417323
60,2/10/2002,0.169291339
61,2/11/2002,0.011811024
62,2/12/2002,0.031496063
63,2/13/2002,0.948818898
64,2/14/2002,0.358267717
65,2/15/2002,2.291338583
66,2/16/2002,0.251968504
67,2/17/2002,0.11023622
68,2/18/2002,0.019685039
69,2/19/2002,0.25984252
70,2/20/2002,0
71,2/21/2002,0
72,2/22/2002,0
73,2/23/2002,0.070866142
74,2/24/2002,0.149606299
75,2/25/2002,0.25984252
76,2/26/2002,0
77,2/27/2002,0
78,2/28/2002,0
79,3/1/2002,1.208661417
80,3/2/2002,0.799212598
81,3/3/2002,0.051181102
82,3/4/2002,0.070866142
83,3/5/2002,0.019685039
84,3/6/2002,0.090551181
85,3/7/2002,0.118110236
86,3/8/2002,0.271653543
87,3/9/2002,0.149606299
88,3/10/2002,0
