,datetime,precip_in
1,5/4/2001,0.25984252
2,5/5/2001,0.200787402
3,5/6/2001,0.011811024
4,5/7/2001,0.078740157
5,5/8/2001,0.61023622
6,5/9/2001,0
7,5/10/2001,0
8,5/11/2001,0.070866142
9,5/12/2001,0.559055118
10,5/13/2001,2.12992126
11,5/14/2001,0.318897638
12,5/15/2001,0
13,5/16/2001,0.051181102
14,5/17/2001,0.74015748
15,5/18/2001,0.031496063
16,5/19/2001,0
17,5/20/2001,0
18,5/21/2001,0
19,5/22/2001,0
20,5/23/2001,0.401574803
21,5/24/2001,0.799212598
22,5/25/2001,0.078740157
23,5/26/2001,0
24,5/27/2001,0.181102362
25,5/28/2001,0.12992126
26,5/29/2001,0
27,5/30/2001,0
28,5/31/2001,0
29,6/1/2001,0
30,6/2/2001,0.078740157
31,6/3/2001,0.251968504
32,6/4/2001,0.779527559
33,6/5/2001,0.181102362
34,6/6/2001,0
35,6/7/2001,0
36,6/8/2001,2.421259843
37,6/9/2001,2.358267717
38,6/10/2001,0.771653543
39,6/11/2001,0.881889764
40,6/12/2001,0
41,6/13/2001,0.200787402
42,6/14/2001,0.051181102
43,6/15/2001,0
44,6/16/2001,0.118110236
45,6/17/2001,0.039370079
46,6/18/2001,0
47,6/19/2001,0.011811024
48,6/20/2001,0.708661417
49,6/21/2001,1.039370079
50,6/22/2001,0
51,6/23/2001,0
52,6/24/2001,0
53,6/25/2001,0
54,6/26/2001,0
55,6/27/2001,0
56,6/28/2001,0.059055118
57,6/29/2001,0.161417323
58,6/30/2001,0
59,7/1/2001,0
60,7/2/2001,0.011811024
61,7/3/2001,0
62,7/4/2001,0
63,7/5/2001,0
64,7/6/2001,0
65,7/7/2001,0
66,7/8/2001,0.019685039
67,7/9/2001,0
68,7/10/2001,0
69,7/11/2001,0
70,7/12/2001,0
71,7/13/2001,0
72,7/14/2001,1.338582677
73,7/15/2001,0.830708661
74,7/16/2001,0
75,7/17/2001,0
76,7/18/2001,0
77,7/19/2001,0
78,7/20/2001,0.161417323
79,7/21/2001,0
80,7/22/2001,0.019685039
81,7/23/2001,0.299212598
82,7/24/2001,0.059055118
83,7/25/2001,2.118110236
84,7/26/2001,0.141732283
85,7/27/2001,0
86,7/28/2001,0
87,7/29/2001,0
88,7/30/2001,0
89,7/31/2001,0
90,8/1/2001,0.011811024
91,8/2/2001,0.019685039
92,8/3/2001,0.011811024
93,8/4/2001,0.480314961
94,8/5/2001,0.141732283
95,8/6/2001,0.200787402
96,8/7/2001,0
97,8/8/2001,0
98,8/9/2001,0
99,8/10/2001,0
100,8/11/2001,0
101,8/12/2001,0
102,8/13/2001,0
103,8/14/2001,0
104,8/15/2001,0.401574803
105,8/16/2001,0
106,8/17/2001,0.169291339
107,8/18/2001,0.161417323
108,8/19/2001,0
109,8/20/2001,0.200787402
110,8/21/2001,0
111,8/22/2001,0
112,8/23/2001,0
113,8/24/2001,0
114,8/25/2001,0
115,8/26/2001,0
116,8/27/2001,0.031496063
117,8/28/2001,0
118,8/29/2001,0.019685039
119,8/30/2001,0
120,8/31/2001,0
121,9/1/2001,0
122,9/2/2001,0.149606299
123,9/3/2001,0
124,9/4/2001,0
125,9/5/2001,0
126,9/6/2001,0.011811024
127,9/7/2001,0.838582677
128,9/8/2001,0.11023622
129,9/9/2001,0
130,9/10/2001,0
131,9/11/2001,0
132,9/12/2001,0
133,9/13/2001,0.039370079
134,9/14/2001,0.181102362
135,9/15/2001,0
136,9/16/2001,0
137,9/17/2001,0.051181102
138,9/18/2001,0
139,9/19/2001,0
140,9/20/2001,0
141,9/21/2001,2.169291339
142,9/22/2001,0.200787402
143,9/23/2001,0
144,9/24/2001,0.858267717
145,9/25/2001,0.24015748
146,9/26/2001,0.460629921
147,9/27/2001,0.251968504
148,9/28/2001,0.051181102
149,9/29/2001,0.039370079
150,9/30/2001,0.039370079
151,10/1/2001,2.87007874
152,10/2/2001,0.181102362
153,10/3/2001,0.401574803
154,10/4/2001,2.200787402
155,10/5/2001,0.090551181
156,10/6/2001,0
157,10/7/2001,0
158,10/8/2001,0
159,10/9/2001,0.039370079
160,10/10/2001,0
161,10/11/2001,0
162,10/12/2001,0.090551181
163,10/13/2001,0.039370079
164,10/14/2001,0.61023622
165,10/15/2001,0.011811024
166,10/16/2001,0
167,10/17/2001,0.377952756
168,10/18/2001,0.031496063
169,10/19/2001,0.37007874
170,10/20/2001,0
171,10/21/2001,0
172,10/22/2001,0
173,10/23/2001,0
174,10/24/2001,0.070866142
175,10/25/2001,0
176,10/26/2001,1.070866142
177,10/27/2001,0.358267717
178,10/28/2001,0.059055118
179,10/29/2001,0
180,10/30/2001,0.118110236
181,10/31/2001,0
182,11/1/2001,0
183,11/2/2001,0
184,11/3/2001,0.688976378
185,11/4/2001,1.448818898
186,11/5/2001,0.118110236
187,11/6/2001,0.12992126
188,11/7/2001,0
189,11/8/2001,0.070866142
190,11/9/2001,0.818897638
191,11/10/2001,0.429133858
192,11/11/2001,2.24015748
193,11/12/2001,0.228346457
194,11/13/2001,0.059055118
195,11/14/2001,0
196,11/15/2001,0.051181102
197,11/16/2001,0
198,11/17/2001,0
199,11/18/2001,0
200,11/19/2001,0
201,11/20/2001,0.031496063
202,11/21/2001,0.098425197
203,11/22/2001,0
204,11/23/2001,0
205,11/24/2001,0.409448819
206,11/25/2001,0.338582677
207,11/26/2001,0
208,11/27/2001,0
209,11/28/2001,0
210,11/29/2001,0.720472441
211,11/30/2001,0.228346457
212,12/1/2001,0.598425197
213,12/2/2001,0
214,12/3/2001,0
215,12/4/2001,1.921259843
216,12/5/2001,0.059055118
217,12/6/2001,1.818897638
218,12/7/2001,0.559055118
219,12/8/2001,1.059055118
220,12/9/2001,1.200787402
221,12/10/2001,0
222,12/11/2001,0.401574803
223,12/12/2001,0.299212598
224,12/13/2001,0.011811024
225,12/14/2001,0.448818898
226,12/15/2001,1.468503937
227,12/16/2001,0
228,12/17/2001,0
229,12/18/2001,0
230,12/19/2001,0
231,12/20/2001,0
232,12/21/2001,0.031496063
233,12/22/2001,0
234,12/23/2001,0.031496063
235,12/24/2001,0.019685039
236,12/25/2001,0.728346457
237,12/26/2001,4.161417323
