,datetime,precip_in
1,7/1/1958,0.5
2,7/2/1958,0.6
3,7/3/1958,0.05
4,7/4/1958,NA
5,7/5/1958,0.05
6,7/6/1958,0.2
7,7/7/1958,NA
8,7/8/1958,0.3
9,7/9/1958,NA
10,7/10/1958,0.4
11,7/11/1958,0.2
12,7/12/1958,NA
13,7/13/1958,NA
14,7/14/1958,NA
15,7/15/1958,NA
16,7/16/1958,2.15
17,7/17/1958,0.3
18,7/18/1958,NA
19,7/19/1958,NA
20,7/20/1958,NA
21,7/21/1958,NA
22,7/22/1958,NA
23,7/23/1958,NA
24,7/24/1958,1.5
25,7/25/1958,0.2
26,7/26/1958,NA
27,7/27/1958,NA
28,7/28/1958,NA
29,7/29/1958,NA
30,7/30/1958,NA
31,7/31/1958,1.1
32,8/1/1958,0.2
33,8/2/1958,0.4
34,8/3/1958,0.2
35,8/4/1958,0.15
36,8/5/1958,0.15
37,8/6/1958,NA
38,8/7/1958,NA
39,8/8/1958,0.35
40,8/9/1958,0.2
41,8/10/1958,0.7
42,8/11/1958,0.15
43,8/12/1958,0.75
44,8/13/1958,0.2
45,8/14/1958,0.8
46,8/15/1958,1.2
47,8/16/1958,0.15
48,8/17/1958,NA
49,8/18/1958,NA
50,8/19/1958,0.05
51,8/20/1958,NA
52,8/21/1958,NA
53,8/22/1958,0.55
54,8/23/1958,NA
55,8/24/1958,NA
56,8/25/1958,NA
57,8/26/1958,NA
58,8/27/1958,NA
59,8/28/1958,NA
60,8/29/1958,NA
61,8/30/1958,NA
62,8/31/1958,0.1
63,9/1/1958,0.25
64,9/2/1958,0.6
65,9/3/1958,0.4
66,9/4/1958,0.1
67,9/5/1958,2.5
68,9/6/1958,1.2
69,9/7/1958,NA
70,9/8/1958,NA
71,9/9/1958,NA
72,9/10/1958,NA
73,9/11/1958,NA
74,9/12/1958,0.55
75,9/13/1958,0.75
76,9/14/1958,1.15
77,9/15/1958,NA
78,9/16/1958,NA
79,9/17/1958,NA
80,9/18/1958,NA
81,9/19/1958,NA
82,9/20/1958,NA
83,9/21/1958,NA
84,9/22/1958,NA
85,9/23/1958,NA
86,9/24/1958,1.7
87,9/25/1958,2.1
88,9/26/1958,3.1
89,9/27/1958,NA
90,9/28/1958,0.15
91,9/29/1958,1.5
92,9/30/1958,3.3
93,10/1/1958,2.4
94,10/2/1958,NA
95,10/3/1958,1.65
96,10/4/1958,NA
97,10/5/1958,NA
98,10/6/1958,4.05
99,10/7/1958,NA
100,10/8/1958,0.15
101,10/9/1958,0.25
102,10/10/1958,NA
103,10/11/1958,NA
104,10/12/1958,NA
105,10/13/1958,1.45
106,10/14/1958,NA
107,10/15/1958,1.45
108,10/16/1958,NA
109,10/17/1958,NA
110,10/18/1958,NA
111,10/19/1958,2.2
112,10/20/1958,0.65
113,10/21/1958,NA
114,10/22/1958,NA
115,10/23/1958,1.5
116,10/24/1958,NA
117,10/25/1958,0.7
118,10/26/1958,NA
119,10/27/1958,NA
120,10/28/1958,NA
121,10/29/1958,NA
122,10/30/1958,0.85
123,10/31/1958,0.8
124,11/1/1958,NA
125,11/2/1958,2.1
126,11/3/1958,NA
127,11/4/1958,NA
128,11/5/1958,NA
129,11/6/1958,0.5
130,11/7/1958,1.2
131,11/8/1958,NA
132,11/9/1958,1.1
133,11/10/1958,NA
134,11/11/1958,NA
135,11/12/1958,0.2
136,11/13/1958,2.65
137,11/14/1958,NA
138,11/15/1958,NA
139,11/16/1958,NA
140,11/17/1958,0.7
141,11/18/1958,NA
142,11/19/1958,NA
143,11/20/1958,NA
144,11/21/1958,2.45
145,11/22/1958,3.2
146,11/23/1958,NA
147,11/24/1958,1.1
148,11/25/1958,1.95
149,11/26/1958,NA
150,11/27/1958,NA
151,11/28/1958,3.45
152,11/29/1958,3.9
153,11/30/1958,4.1
154,12/1/1958,NA
155,12/2/1958,NA
156,12/3/1958,0.35
157,12/4/1958,NA
158,12/5/1958,NA
159,12/6/1958,NA
160,12/7/1958,NA
161,12/8/1958,1.7
162,12/9/1958,1.7
163,12/10/1958,NA
164,12/11/1958,NA
165,12/12/1958,1.25
166,12/13/1958,NA
167,12/14/1958,NA
168,12/15/1958,NA
169,12/16/1958,NA
170,12/17/1958,NA
171,12/18/1958,NA
172,12/19/1958,NA
173,12/20/1958,NA
174,12/21/1958,1.65
175,12/22/1958,NA
176,12/23/1958,NA
177,12/24/1958,NA
178,12/25/1958,NA
179,12/26/1958,NA
180,12/27/1958,NA
181,12/28/1958,NA
182,12/29/1958,4.75
183,12/30/1958,0.1
184,12/31/1958,0.15
