,datetime,precip_in
1,01/01/1990,NA
2,01/02/1990,NA
3,01/03/1990,NA
4,01/04/1990,NA
5,01/05/1990,NA
6,01/06/1990,NA
7,01/07/1990,NA
8,01/08/1990,NA
9,01/09/1990,NA
10,01/10/1990,NA
11,01/11/1990,NA
12,01/12/1990,NA
13,01/13/1990,NA
14,01/14/1990,NA
15,01/15/1990,NA
16,01/16/1990,NA
17,01/17/1990,NA
18,01/18/1990,NA
19,01/19/1990,NA
20,01/20/1990,NA
21,01/21/1990,NA
22,01/22/1990,NA
23,01/23/1990,NA
24,01/24/1990,NA
25,01/25/1990,NA
26,01/26/1990,NA
27,01/27/1990,NA
28,01/28/1990,NA
29,01/29/1990,NA
30,01/30/1990,NA
31,01/31/1990,NA
32,02/01/1990,NA
33,02/02/1990,NA
34,02/03/1990,NA
35,02/04/1990,NA
36,02/05/1990,NA
37,02/06/1990,NA
38,02/07/1990,NA
39,02/08/1990,NA
40,02/09/1990,NA
41,02/10/1990,NA
42,02/11/1990,NA
43,02/12/1990,NA
44,02/13/1990,NA
45,02/14/1990,NA
46,02/15/1990,NA
47,02/16/1990,NA
48,02/17/1990,NA
49,02/18/1990,NA
50,02/19/1990,NA
51,02/20/1990,NA
52,02/21/1990,NA
53,02/22/1990,NA
54,02/23/1990,NA
55,02/24/1990,NA
56,02/25/1990,NA
57,02/26/1990,NA
58,02/27/1990,NA
59,02/28/1990,NA
60,03/01/1990,NA
61,03/02/1990,NA
62,03/03/1990,NA
63,03/04/1990,NA
64,03/05/1990,NA
65,03/06/1990,NA
66,03/07/1990,NA
67,03/08/1990,NA
68,03/09/1990,NA
69,03/10/1990,NA
70,03/11/1990,NA
71,03/12/1990,NA
72,03/13/1990,NA
73,03/14/1990,NA
74,03/15/1990,NA
75,03/16/1990,NA
76,03/17/1990,NA
77,03/18/1990,NA
78,03/19/1990,NA
79,03/20/1990,NA
80,03/21/1990,NA
81,03/22/1990,NA
82,03/23/1990,NA
83,03/24/1990,NA
84,03/25/1990,NA
85,03/26/1990,NA
86,03/27/1990,NA
87,03/28/1990,NA
88,03/29/1990,NA
89,03/30/1990,NA
90,03/31/1990,NA
91,04/01/1990,NA
92,04/02/1990,NA
93,04/03/1990,NA
94,04/04/1990,NA
95,04/05/1990,NA
96,04/06/1990,NA
97,04/07/1990,NA
98,04/08/1990,NA
99,04/09/1990,NA
100,04/10/1990,NA
101,04/11/1990,NA
102,04/12/1990,NA
103,04/13/1990,NA
104,04/14/1990,NA
105,04/15/1990,NA
106,04/16/1990,NA
107,04/17/1990,NA
108,04/18/1990,NA
109,04/19/1990,NA
110,04/20/1990,NA
111,04/21/1990,NA
112,04/22/1990,NA
113,04/23/1990,NA
114,04/24/1990,NA
115,04/25/1990,NA
116,04/26/1990,NA
117,04/27/1990,NA
118,04/28/1990,NA
119,04/29/1990,NA
120,04/30/1990,NA
121,05/01/1990,NA
122,05/02/1990,NA
123,05/03/1990,NA
124,05/04/1990,NA
125,05/05/1990,NA
126,05/06/1990,NA
127,05/07/1990,NA
128,05/08/1990,NA
129,05/09/1990,NA
130,05/10/1990,NA
131,05/11/1990,NA
132,05/12/1990,NA
133,05/13/1990,NA
134,05/14/1990,NA
135,05/15/1990,NA
136,05/16/1990,NA
137,05/17/1990,NA
138,05/18/1990,NA
139,05/19/1990,NA
140,05/20/1990,NA
141,05/21/1990,NA
142,05/22/1990,NA
143,05/23/1990,NA
144,05/24/1990,NA
145,05/25/1990,NA
146,05/26/1990,NA
147,05/27/1990,NA
148,05/28/1990,NA
149,05/29/1990,NA
150,05/30/1990,NA
151,05/31/1990,NA
152,06/01/1990,NA
153,06/02/1990,NA
154,06/03/1990,NA
155,06/04/1990,NA
156,06/05/1990,NA
157,06/06/1990,NA
158,06/07/1990,NA
159,06/08/1990,NA
160,06/09/1990,NA
161,06/10/1990,NA
162,06/11/1990,NA
163,06/12/1990,NA
164,06/13/1990,NA
165,06/14/1990,NA
166,06/15/1990,NA
167,06/16/1990,NA
168,06/17/1990,NA
169,06/18/1990,NA
170,06/19/1990,NA
171,06/20/1990,NA
172,06/21/1990,NA
173,06/22/1990,NA
174,06/23/1990,NA
175,06/24/1990,NA
176,06/25/1990,NA
177,06/26/1990,NA
178,06/27/1990,NA
179,06/28/1990,NA
180,06/29/1990,NA
181,06/30/1990,NA
182,07/01/1990,NA
183,07/02/1990,NA
184,07/03/1990,NA
185,07/04/1990,NA
186,07/05/1990,NA
187,07/06/1990,NA
188,07/07/1990,NA
189,07/08/1990,NA
190,07/09/1990,NA
191,07/10/1990,NA
192,07/11/1990,NA
193,07/12/1990,NA
194,07/13/1990,NA
195,07/14/1990,NA
196,07/15/1990,NA
197,07/16/1990,NA
198,07/17/1990,NA
199,07/18/1990,NA
200,07/19/1990,NA
201,07/20/1990,NA
202,07/21/1990,NA
203,07/22/1990,NA
204,07/23/1990,NA
205,07/24/1990,NA
206,07/25/1990,NA
207,07/26/1990,NA
208,07/27/1990,NA
209,07/28/1990,NA
210,07/29/1990,NA
211,07/30/1990,NA
212,07/31/1990,NA
213,08/01/1990,NA
214,08/02/1990,NA
215,08/03/1990,NA
216,08/04/1990,NA
217,08/05/1990,NA
218,08/06/1990,NA
219,08/07/1990,NA
220,08/08/1990,NA
221,08/09/1990,NA
222,08/10/1990,NA
223,08/11/1990,NA
224,08/12/1990,NA
225,08/13/1990,NA
226,08/14/1990,NA
227,08/15/1990,NA
228,08/16/1990,NA
229,08/17/1990,NA
230,08/18/1990,NA
231,08/19/1990,NA
232,08/20/1990,NA
233,08/21/1990,NA
234,08/22/1990,NA
235,08/23/1990,NA
236,08/24/1990,NA
237,08/25/1990,NA
238,08/26/1990,NA
239,08/27/1990,NA
240,08/28/1990,NA
241,08/29/1990,NA
242,08/30/1990,NA
243,08/31/1990,0.44
244,09/01/1990,NA
245,09/02/1990,NA
246,09/03/1990,2.1
247,09/04/1990,NA
248,09/05/1990,NA
249,09/06/1990,NA
250,09/07/1990,NA
251,09/08/1990,NA
252,09/09/1990,NA
253,09/10/1990,1.2
254,09/11/1990,0.05
255,09/12/1990,NA
256,09/13/1990,NA
257,09/14/1990,NA
258,09/15/1990,NA
259,09/16/1990,NA
260,09/17/1990,0.73
261,09/18/1990,NA
262,09/19/1990,NA
263,09/20/1990,NA
264,09/21/1990,NA
265,09/22/1990,NA
266,09/23/1990,NA
267,09/24/1990,1.73
268,09/25/1990,NA
269,09/26/1990,0.19
270,09/27/1990,NA
271,09/28/1990,0.08
272,09/29/1990,NA
273,09/30/1990,NA
274,10/01/1990,0.0
275,10/02/1990,0.0
276,10/03/1990,0.0
277,10/04/1990,0.0
278,10/05/1990,0.25
279,10/06/1990,0.0
280,10/07/1990,0.0
281,10/08/1990,0.85
282,10/09/1990,0.55
283,10/10/1990,0.29
284,10/11/1990,3.0
285,10/12/1990,0.7
286,10/13/1990,0.0
287,10/14/1990,0.0
288,10/15/1990,0.25
289,10/16/1990,0.0
290,10/17/1990,0.13
291,10/18/1990,0.0
292,10/19/1990,2.0
293,10/20/1990,0.0
294,10/21/1990,0.0
295,10/22/1990,0.15
296,10/23/1990,0.0
297,10/24/1990,1.86
298,10/25/1990,0.73
299,10/26/1990,0.0
