,datetime,precip_in
1,01/01/2001,NA
2,01/02/2001,NA
3,01/03/2001,NA
4,01/04/2001,NA
5,01/05/2001,NA
6,01/06/2001,NA
7,01/07/2001,NA
8,01/08/2001,NA
9,01/09/2001,NA
10,01/10/2001,NA
11,01/11/2001,NA
12,01/12/2001,NA
13,01/13/2001,NA
14,01/14/2001,NA
15,01/15/2001,NA
16,01/16/2001,NA
17,01/17/2001,NA
18,01/18/2001,NA
19,01/19/2001,NA
20,01/20/2001,NA
21,01/21/2001,NA
22,01/22/2001,NA
23,01/23/2001,NA
24,01/24/2001,NA
25,01/25/2001,NA
26,01/26/2001,NA
27,01/27/2001,NA
28,01/28/2001,NA
29,01/29/2001,NA
30,01/30/2001,NA
31,01/31/2001,NA
32,02/01/2001,NA
33,02/02/2001,NA
34,02/03/2001,NA
35,02/04/2001,NA
36,02/05/2001,NA
37,02/06/2001,NA
38,02/07/2001,NA
39,02/08/2001,NA
40,02/09/2001,NA
41,02/10/2001,NA
42,02/11/2001,NA
43,02/12/2001,NA
44,02/13/2001,NA
45,02/14/2001,NA
46,02/15/2001,NA
47,02/16/2001,NA
48,02/17/2001,NA
49,02/18/2001,NA
50,02/19/2001,NA
51,02/20/2001,NA
52,02/21/2001,NA
53,02/22/2001,NA
54,02/23/2001,NA
55,02/24/2001,NA
56,02/25/2001,NA
57,02/26/2001,NA
58,02/27/2001,NA
59,02/28/2001,NA
60,03/01/2001,NA
61,03/02/2001,NA
62,03/03/2001,NA
63,03/04/2001,NA
64,03/05/2001,NA
65,03/06/2001,NA
66,03/07/2001,NA
67,03/08/2001,NA
68,03/09/2001,NA
69,03/10/2001,NA
70,03/11/2001,NA
71,03/12/2001,NA
72,03/13/2001,NA
73,03/14/2001,NA
74,03/15/2001,NA
75,03/16/2001,NA
76,03/17/2001,NA
77,03/18/2001,NA
78,03/19/2001,NA
79,03/20/2001,NA
80,03/21/2001,NA
81,03/22/2001,NA
82,03/23/2001,NA
83,03/24/2001,NA
84,03/25/2001,NA
85,03/26/2001,NA
86,03/27/2001,NA
87,03/28/2001,NA
88,03/29/2001,NA
89,03/30/2001,NA
90,03/31/2001,NA
91,04/01/2001,NA
92,04/02/2001,NA
93,04/03/2001,NA
94,04/04/2001,NA
95,04/05/2001,NA
96,04/06/2001,NA
97,04/07/2001,NA
98,04/08/2001,NA
99,04/09/2001,NA
100,04/10/2001,NA
101,04/11/2001,NA
102,04/12/2001,NA
103,04/13/2001,NA
104,04/14/2001,NA
105,04/15/2001,NA
106,04/16/2001,NA
107,04/17/2001,NA
108,04/18/2001,NA
109,04/19/2001,NA
110,04/20/2001,NA
111,04/21/2001,NA
112,04/22/2001,NA
113,04/23/2001,NA
114,04/24/2001,NA
115,04/25/2001,NA
116,04/26/2001,NA
117,04/27/2001,NA
118,04/28/2001,NA
119,04/29/2001,NA
120,04/30/2001,NA
121,05/01/2001,NA
122,05/02/2001,NA
123,05/03/2001,NA
124,05/04/2001,0.25984265999999995
125,05/05/2001,0.20078750999999997
126,05/06/2001,0.011811029999999998
127,05/07/2001,0.0787402
128,05/08/2001,0.61023655
129,05/09/2001,0.0
130,05/10/2001,0.0
131,05/11/2001,0.07086618
132,05/12/2001,0.55905542
133,05/13/2001,2.12992241
134,05/14/2001,0.31889780999999995
135,05/15/2001,0.0
136,05/16/2001,0.05118113
137,05/17/2001,0.74015788
138,05/18/2001,0.03149608
139,05/19/2001,0.0
140,05/20/2001,0.0
141,05/21/2001,0.0
142,05/22/2001,0.0
143,05/23/2001,0.40157501999999995
144,05/24/2001,0.79921303
145,05/25/2001,0.0787402
146,05/26/2001,0.0
147,05/27/2001,0.18110245999999997
148,05/28/2001,0.12992132999999997
149,05/29/2001,0.0
150,05/30/2001,0.0
151,05/31/2001,0.0
152,06/01/2001,0.0
153,06/02/2001,0.0787402
154,06/03/2001,0.25196864
155,06/04/2001,0.77952798
156,06/05/2001,0.18110245999999997
157,06/06/2001,0.0
158,06/07/2001,0.0
159,06/08/2001,2.42126115
160,06/09/2001,2.35826899
161,06/10/2001,0.77165396
162,06/11/2001,0.8818902399999999
163,06/12/2001,0.0
164,06/13/2001,0.20078750999999997
165,06/14/2001,0.05118113
166,06/15/2001,0.0
167,06/16/2001,0.1181103
168,06/17/2001,0.0393701
169,06/18/2001,0.0
170,06/19/2001,0.011811029999999998
171,06/20/2001,0.7086618
172,06/21/2001,1.0393706399999998
173,06/22/2001,0.0
174,06/23/2001,0.0
175,06/24/2001,0.0
176,06/25/2001,0.0
177,06/26/2001,0.0
178,06/27/2001,0.0
179,06/28/2001,0.05905515
180,06/29/2001,0.16141740999999998
181,06/30/2001,0.0
182,07/01/2001,0.0
183,07/02/2001,0.011811029999999998
184,07/03/2001,0.0
185,07/04/2001,0.0
186,07/05/2001,0.0
187,07/06/2001,0.0
188,07/07/2001,0.0
189,07/08/2001,0.01968505
190,07/09/2001,0.0
191,07/10/2001,0.0
192,07/11/2001,0.0
193,07/12/2001,0.0
194,07/13/2001,0.0
195,07/14/2001,1.3385833999999999
196,07/15/2001,0.83070911
197,07/16/2001,0.0
198,07/17/2001,0.0
199,07/18/2001,0.0
200,07/19/2001,0.0
201,07/20/2001,0.16141740999999998
202,07/21/2001,0.0
203,07/22/2001,0.01968505
204,07/23/2001,0.29921275999999997
205,07/24/2001,0.05905515
206,07/25/2001,2.1181113799999998
207,07/26/2001,0.14173236
208,07/27/2001,0.0
209,07/28/2001,0.0
210,07/29/2001,0.0
211,07/30/2001,0.0
212,07/31/2001,0.0
213,08/01/2001,0.011811029999999998
214,08/02/2001,0.01968505
215,08/03/2001,0.011811029999999998
216,08/04/2001,0.48031521999999993
217,08/05/2001,0.14173236
218,08/06/2001,0.20078750999999997
219,08/07/2001,0.0
220,08/08/2001,0.0
221,08/09/2001,0.0
222,08/10/2001,0.0
223,08/11/2001,0.0
224,08/12/2001,0.0
225,08/13/2001,0.0
226,08/14/2001,0.0
227,08/15/2001,0.40157501999999995
228,08/16/2001,0.0
229,08/17/2001,0.16929143
230,08/18/2001,0.16141740999999998
231,08/19/2001,0.0
232,08/20/2001,0.20078750999999997
233,08/21/2001,0.0
234,08/22/2001,0.0
235,08/23/2001,0.0
236,08/24/2001,0.0
237,08/25/2001,0.0
238,08/26/2001,0.0
239,08/27/2001,0.03149608
240,08/28/2001,0.0
241,08/29/2001,0.01968505
242,08/30/2001,0.0
243,08/31/2001,0.0
244,09/01/2001,0.0
245,09/02/2001,0.14960637999999998
246,09/03/2001,0.0
247,09/04/2001,0.0
248,09/05/2001,0.0
249,09/06/2001,0.011811029999999998
250,09/07/2001,0.83858313
251,09/08/2001,0.11023627999999999
252,09/09/2001,0.0
253,09/10/2001,0.0
254,09/11/2001,0.0
255,09/12/2001,0.0
256,09/13/2001,0.0393701
257,09/14/2001,0.18110245999999997
258,09/15/2001,0.0
259,09/16/2001,0.0
260,09/17/2001,0.05118113
261,09/18/2001,0.0
262,09/19/2001,0.0
263,09/20/2001,0.0
264,09/21/2001,2.16929251
265,09/22/2001,0.20078750999999997
266,09/23/2001,0.0
267,09/24/2001,0.8582681799999999
268,09/25/2001,0.24015760999999997
269,09/26/2001,0.46063016999999995
270,09/27/2001,0.25196864
271,09/28/2001,0.05118113
272,09/29/2001,0.0393701
273,09/30/2001,0.0393701
274,10/01/2001,2.87008029
275,10/02/2001,0.18110245999999997
276,10/03/2001,0.40157501999999995
277,10/04/2001,2.2007885899999997
278,10/05/2001,0.09055122999999998
279,10/06/2001,0.0
280,10/07/2001,0.0
281,10/08/2001,0.0
282,10/09/2001,0.0393701
283,10/10/2001,0.0
284,10/11/2001,0.0
285,10/12/2001,0.09055122999999998
286,10/13/2001,0.0393701
287,10/14/2001,0.61023655
288,10/15/2001,0.011811029999999998
289,10/16/2001,0.0
290,10/17/2001,0.37795295999999995
291,10/18/2001,0.03149608
292,10/19/2001,0.37007894
293,10/20/2001,0.0
294,10/21/2001,0.0
295,10/22/2001,0.0
296,10/23/2001,0.0
297,10/24/2001,0.07086618
298,10/25/2001,0.0
299,10/26/2001,1.07086672
300,10/27/2001,0.35826790999999997
301,10/28/2001,0.05905515
302,10/29/2001,0.0
303,10/30/2001,0.1181103
304,10/31/2001,0.0
305,11/01/2001,0.0
306,11/02/2001,0.0
307,11/03/2001,0.6889767499999999
308,11/04/2001,1.4488196799999997
309,11/05/2001,0.1181103
310,11/06/2001,0.12992132999999997
311,11/07/2001,0.0
312,11/08/2001,0.07086618
313,11/09/2001,0.81889808
314,11/10/2001,0.42913408999999997
315,11/11/2001,2.24015869
316,11/12/2001,0.22834658
317,11/13/2001,0.05905515
318,11/14/2001,0.0
319,11/15/2001,0.05118113
320,11/16/2001,0.0
321,11/17/2001,0.0
322,11/18/2001,0.0
323,11/19/2001,0.0
324,11/20/2001,0.03149608
325,11/21/2001,0.09842524999999999
326,11/22/2001,0.0
327,11/23/2001,0.0
328,11/24/2001,0.40944904
329,11/25/2001,0.33858286
330,11/26/2001,0.0
331,11/27/2001,0.0
332,11/28/2001,0.0
333,11/29/2001,0.72047283
334,11/30/2001,0.22834658
335,12/01/2001,0.5984255199999999
336,12/02/2001,0.0
337,12/03/2001,0.0
338,12/04/2001,1.9212608799999997
339,12/05/2001,0.05905515
340,12/06/2001,1.8188986200000001
341,12/07/2001,0.55905542
342,12/08/2001,1.0590556899999999
343,12/09/2001,1.2007880499999999
344,12/10/2001,0.0
345,12/11/2001,0.40157501999999995
346,12/12/2001,0.29921275999999997
347,12/13/2001,0.011811029999999998
348,12/14/2001,0.44881914
349,12/15/2001,1.4685047299999998
350,12/16/2001,0.0
351,12/17/2001,0.0
352,12/18/2001,0.0
353,12/19/2001,0.0
354,12/20/2001,0.0
355,12/21/2001,0.03149608
