,datetime,precip_in
1,01/01/2012,NA
2,01/02/2012,NA
3,01/03/2012,NA
4,01/04/2012,NA
5,01/05/2012,NA
6,01/06/2012,NA
7,01/07/2012,NA
8,01/08/2012,NA
9,01/09/2012,NA
10,01/10/2012,NA
11,01/11/2012,NA
12,01/12/2012,NA
13,01/13/2012,NA
14,01/14/2012,NA
15,01/15/2012,NA
16,01/16/2012,NA
17,01/17/2012,NA
18,01/18/2012,NA
19,01/19/2012,NA
20,01/20/2012,NA
21,01/21/2012,NA
22,01/22/2012,NA
23,01/23/2012,NA
24,01/24/2012,NA
25,01/25/2012,NA
26,01/26/2012,NA
27,01/27/2012,NA
28,01/28/2012,NA
29,01/29/2012,NA
30,01/30/2012,NA
31,01/31/2012,NA
32,02/01/2012,NA
33,02/02/2012,NA
34,02/03/2012,NA
35,02/04/2012,NA
36,02/05/2012,NA
37,02/06/2012,NA
38,02/07/2012,NA
39,02/08/2012,NA
40,02/09/2012,NA
41,02/10/2012,NA
42,02/11/2012,NA
43,02/12/2012,NA
44,02/13/2012,NA
45,02/14/2012,NA
46,02/15/2012,NA
47,02/16/2012,NA
48,02/17/2012,NA
49,02/18/2012,NA
50,02/19/2012,NA
51,02/20/2012,NA
52,02/21/2012,NA
53,02/22/2012,NA
54,02/23/2012,NA
55,02/24/2012,NA
56,02/25/2012,NA
57,02/26/2012,NA
58,02/27/2012,NA
59,02/28/2012,NA
60,02/29/2012,NA
61,03/01/2012,NA
62,03/02/2012,NA
63,03/03/2012,NA
64,03/04/2012,NA
65,03/05/2012,NA
66,03/06/2012,NA
67,03/07/2012,NA
68,03/08/2012,NA
69,03/09/2012,NA
70,03/10/2012,NA
71,03/11/2012,NA
72,03/12/2012,NA
73,03/13/2012,NA
74,03/14/2012,NA
75,03/15/2012,0.16
76,03/16/2012,0.56
77,03/17/2012,0.06
78,03/18/2012,0.1
79,03/19/2012,0.02
80,03/20/2012,1.01
81,03/21/2012,0.89
82,03/22/2012,1.47
83,03/23/2012,0.49
84,03/24/2012,0.63
85,03/25/2012,0.65
86,03/26/2012,0.08
87,03/27/2012,0.12
88,03/28/2012,0.0
89,03/29/2012,0.0
90,03/30/2012,0.04
91,03/31/2012,0.46
92,04/01/2012,0.0
93,04/02/2012,0.03
94,04/03/2012,0.28
95,04/04/2012,0.09
96,04/05/2012,0.06
97,04/06/2012,0.22
98,04/07/2012,1.09
99,04/08/2012,0.01
100,04/09/2012,0.0
101,04/10/2012,0.03
102,04/11/2012,0.9
103,04/12/2012,0.0
104,04/13/2012,0.26
105,04/14/2012,0.0
106,04/15/2012,0.58
107,04/16/2012,0.09
108,04/17/2012,0.0
109,04/18/2012,0.15
110,04/19/2012,0.01
111,04/20/2012,0.05
112,04/21/2012,0.04
113,04/22/2012,0.05
114,04/23/2012,0.08
115,04/24/2012,0.01
116,04/25/2012,0.07
117,04/26/2012,0.19
118,04/27/2012,0.15
119,04/28/2012,0.48
120,04/29/2012,1.01
121,04/30/2012,0.0
122,05/01/2012,0.0
123,05/02/2012,0.26
124,05/03/2012,0.02
125,05/04/2012,0.0
126,05/05/2012,0.0
127,05/06/2012,0.06
128,05/07/2012,0.05
129,05/08/2012,0.66
130,05/09/2012,0.39
131,05/10/2012,0.38
132,05/11/2012,0.0
133,05/12/2012,0.41
134,05/13/2012,0.4
135,05/14/2012,0.14
136,05/15/2012,0.37
137,05/16/2012,0.0
138,05/17/2012,0.03
139,05/18/2012,0.0
140,05/19/2012,0.0
141,05/20/2012,0.16
142,05/21/2012,0.0
143,05/22/2012,4.09
144,05/23/2012,6.83
145,05/24/2012,5.78
146,05/25/2012,1.44
147,05/26/2012,0.91
148,05/27/2012,0.01
149,05/28/2012,0.0
150,05/29/2012,0.0
151,05/30/2012,0.03
152,05/31/2012,0.28
153,06/01/2012,0.18
154,06/02/2012,1.28
155,06/03/2012,2.65
156,06/04/2012,2.94
157,06/05/2012,0.42
158,06/06/2012,0.73
159,06/07/2012,0.33
160,06/08/2012,0.05
161,06/09/2012,0.0
162,06/10/2012,0.04
163,06/11/2012,0.15
164,06/12/2012,0.01
165,06/13/2012,0.0
166,06/14/2012,0.0
167,06/15/2012,0.0
168,06/16/2012,0.49
169,06/17/2012,0.01
170,06/18/2012,0.36
171,06/19/2012,0.0
172,06/20/2012,0.46
173,06/21/2012,0.01
174,06/22/2012,0.01
175,06/23/2012,1.03
176,06/24/2012,0.11
177,06/25/2012,0.02
178,06/26/2012,0.0
179,06/27/2012,0.0
180,06/28/2012,0.28
181,06/29/2012,0.0
182,06/30/2012,0.0
183,07/01/2012,0.0
184,07/02/2012,0.02
185,07/03/2012,0.09
186,07/04/2012,0.42
187,07/05/2012,0.0
188,07/06/2012,0.19
189,07/07/2012,1.12
190,07/08/2012,1.58
191,07/09/2012,0.18
192,07/10/2012,0.01
193,07/11/2012,0.3
194,07/12/2012,1.19
195,07/13/2012,1.14
196,07/14/2012,0.57
