,datetime,precip_in
1,07/01/1958,0.5
2,07/02/1958,0.6
3,07/03/1958,0.05
4,07/04/1958,NA
5,07/05/1958,0.05
6,07/06/1958,0.2
7,07/07/1958,NA
8,07/08/1958,0.3
9,07/09/1958,NA
10,07/10/1958,0.4
11,07/11/1958,0.2
12,07/12/1958,NA
13,07/13/1958,NA
14,07/14/1958,NA
15,07/15/1958,NA
16,07/16/1958,2.15
17,07/17/1958,0.3
18,07/18/1958,NA
19,07/19/1958,NA
20,07/20/1958,NA
21,07/21/1958,NA
22,07/22/1958,NA
23,07/23/1958,NA
24,07/24/1958,1.5
25,07/25/1958,0.2
26,07/26/1958,NA
27,07/27/1958,NA
28,07/28/1958,NA
29,07/29/1958,NA
30,07/30/1958,NA
31,07/31/1958,1.1
32,08/01/1958,0.2
33,08/02/1958,0.4
34,08/03/1958,0.2
35,08/04/1958,0.15
36,08/05/1958,0.15
37,08/06/1958,NA
38,08/07/1958,NA
39,08/08/1958,0.35
40,08/09/1958,0.2
41,08/10/1958,0.7
42,08/11/1958,0.15
43,08/12/1958,0.75
44,08/13/1958,0.2
45,08/14/1958,0.8
46,08/15/1958,1.2
47,08/16/1958,0.15
48,08/17/1958,NA
49,08/18/1958,NA
50,08/19/1958,0.05
51,08/20/1958,NA
52,08/21/1958,NA
53,08/22/1958,0.55
54,08/23/1958,NA
55,08/24/1958,NA
56,08/25/1958,NA
57,08/26/1958,NA
58,08/27/1958,NA
59,08/28/1958,NA
60,08/29/1958,NA
61,08/30/1958,NA
62,08/31/1958,0.1
63,09/01/1958,0.25
64,09/02/1958,0.6
65,09/03/1958,0.4
66,09/04/1958,0.1
67,09/05/1958,2.5
68,09/06/1958,1.2
69,09/07/1958,NA
70,09/08/1958,NA
71,09/09/1958,NA
72,09/10/1958,NA
73,09/11/1958,NA
74,09/12/1958,0.55
75,09/13/1958,0.75
76,09/14/1958,1.15
77,09/15/1958,NA
78,09/16/1958,NA
79,09/17/1958,NA
80,09/18/1958,NA
81,09/19/1958,NA
82,09/20/1958,NA
83,09/21/1958,NA
84,09/22/1958,NA
85,09/23/1958,NA
86,09/24/1958,1.7
87,09/25/1958,2.1
88,09/26/1958,3.1
89,09/27/1958,NA
90,09/28/1958,0.15
91,09/29/1958,1.5
92,09/30/1958,3.3
93,10/01/1958,2.4
94,10/02/1958,NA
95,10/03/1958,1.65
96,10/04/1958,NA
97,10/05/1958,NA
98,10/06/1958,4.05
99,10/07/1958,NA
100,10/08/1958,0.15
101,10/09/1958,0.25
102,10/10/1958,NA
103,10/11/1958,NA
104,10/12/1958,NA
105,10/13/1958,1.45
106,10/14/1958,NA
107,10/15/1958,1.45
108,10/16/1958,NA
109,10/17/1958,NA
110,10/18/1958,NA
111,10/19/1958,2.2
112,10/20/1958,0.65
113,10/21/1958,NA
114,10/22/1958,NA
115,10/23/1958,1.5
116,10/24/1958,NA
117,10/25/1958,0.7
118,10/26/1958,NA
119,10/27/1958,NA
120,10/28/1958,NA
121,10/29/1958,NA
122,10/30/1958,0.85
123,10/31/1958,0.8
124,11/01/1958,NA
125,11/02/1958,2.1
126,11/03/1958,NA
127,11/04/1958,NA
128,11/05/1958,NA
129,11/06/1958,0.5
130,11/07/1958,1.2
131,11/08/1958,NA
132,11/09/1958,1.1
133,11/10/1958,NA
134,11/11/1958,NA
135,11/12/1958,0.2
136,11/13/1958,2.65
137,11/14/1958,NA
138,11/15/1958,NA
139,11/16/1958,NA
140,11/17/1958,0.7
141,11/18/1958,NA
142,11/19/1958,NA
143,11/20/1958,NA
144,11/21/1958,2.45
145,11/22/1958,3.2
