,datetime,precip_in
1,01/01/2017,NA
2,01/02/2017,NA
3,01/03/2017,NA
4,01/04/2017,NA
5,01/05/2017,NA
6,01/06/2017,NA
7,01/07/2017,NA
8,01/08/2017,NA
9,01/09/2017,NA
10,01/10/2017,NA
11,01/11/2017,NA
12,01/12/2017,NA
13,01/13/2017,NA
14,01/14/2017,NA
15,01/15/2017,NA
16,01/16/2017,NA
17,01/17/2017,NA
18,01/18/2017,NA
19,01/19/2017,NA
20,01/20/2017,NA
21,01/21/2017,NA
22,01/22/2017,NA
23,01/23/2017,NA
24,01/24/2017,NA
25,01/25/2017,NA
26,01/26/2017,NA
27,01/27/2017,NA
28,01/28/2017,NA
29,01/29/2017,NA
30,01/30/2017,NA
31,01/31/2017,NA
32,02/01/2017,NA
33,02/02/2017,NA
34,02/03/2017,NA
35,02/04/2017,NA
36,02/05/2017,NA
37,02/06/2017,NA
38,02/07/2017,NA
39,02/08/2017,NA
40,02/09/2017,NA
41,02/10/2017,NA
42,02/11/2017,NA
43,02/12/2017,NA
44,02/13/2017,NA
45,02/14/2017,NA
46,02/15/2017,NA
47,02/16/2017,NA
48,02/17/2017,NA
49,02/18/2017,NA
50,02/19/2017,NA
51,02/20/2017,NA
52,02/21/2017,NA
53,02/22/2017,NA
54,02/23/2017,NA
55,02/24/2017,NA
56,02/25/2017,NA
57,02/26/2017,NA
58,02/27/2017,NA
59,02/28/2017,NA
60,03/01/2017,NA
61,03/02/2017,NA
62,03/03/2017,NA
63,03/04/2017,NA
64,03/05/2017,NA
65,03/06/2017,NA
66,03/07/2017,NA
67,03/08/2017,NA
68,03/09/2017,NA
69,03/10/2017,NA
70,03/11/2017,NA
71,03/12/2017,NA
72,03/13/2017,NA
73,03/14/2017,NA
74,03/15/2017,NA
75,03/16/2017,NA
76,03/17/2017,NA
77,03/18/2017,NA
78,03/19/2017,NA
79,03/20/2017,NA
80,03/21/2017,NA
81,03/22/2017,NA
82,03/23/2017,NA
83,03/24/2017,NA
84,03/25/2017,NA
85,03/26/2017,NA
86,03/27/2017,NA
87,03/28/2017,NA
88,03/29/2017,NA
89,03/30/2017,NA
90,03/31/2017,NA
91,04/01/2017,NA
92,04/02/2017,NA
93,04/03/2017,NA
94,04/04/2017,NA
95,04/05/2017,NA
96,04/06/2017,NA
97,04/07/2017,NA
98,04/08/2017,NA
99,04/09/2017,NA
100,04/10/2017,NA
101,04/11/2017,NA
102,04/12/2017,NA
103,04/13/2017,NA
104,04/14/2017,NA
105,04/15/2017,NA
106,04/16/2017,NA
107,04/17/2017,NA
108,04/18/2017,NA
109,04/19/2017,NA
110,04/20/2017,NA
111,04/21/2017,NA
112,04/22/2017,NA
113,04/23/2017,NA
114,04/24/2017,NA
115,04/25/2017,NA
116,04/26/2017,NA
117,04/27/2017,NA
118,04/28/2017,NA
119,04/29/2017,NA
120,04/30/2017,NA
121,05/01/2017,NA
122,05/02/2017,NA
123,05/03/2017,NA
124,05/04/2017,NA
125,05/05/2017,NA
126,05/06/2017,NA
127,05/07/2017,NA
128,05/08/2017,NA
129,05/09/2017,NA
130,05/10/2017,NA
131,05/11/2017,NA
132,05/12/2017,NA
133,05/13/2017,NA
134,05/14/2017,NA
135,05/15/2017,NA
136,05/16/2017,NA
137,05/17/2017,NA
138,05/18/2017,NA
139,05/19/2017,NA
140,05/20/2017,NA
141,05/21/2017,NA
142,05/22/2017,NA
143,05/23/2017,NA
144,05/24/2017,NA
145,05/25/2017,NA
146,05/26/2017,NA
147,05/27/2017,NA
148,05/28/2017,NA
149,05/29/2017,NA
150,05/30/2017,NA
151,05/31/2017,NA
152,06/01/2017,NA
153,06/02/2017,NA
154,06/03/2017,NA
155,06/04/2017,NA
156,06/05/2017,NA
157,06/06/2017,NA
158,06/07/2017,NA
159,06/08/2017,NA
160,06/09/2017,NA
161,06/10/2017,NA
162,06/11/2017,NA
163,06/12/2017,NA
164,06/13/2017,NA
165,06/14/2017,NA
166,06/15/2017,NA
167,06/16/2017,NA
168,06/17/2017,NA
169,06/18/2017,NA
170,06/19/2017,NA
171,06/20/2017,NA
172,06/21/2017,NA
173,06/22/2017,NA
174,06/23/2017,NA
175,06/24/2017,NA
176,06/25/2017,NA
177,06/26/2017,NA
178,06/27/2017,NA
179,06/28/2017,NA
180,06/29/2017,NA
181,06/30/2017,NA
182,07/01/2017,NA
183,07/02/2017,NA
184,07/03/2017,NA
185,07/04/2017,NA
186,07/05/2017,NA
187,07/06/2017,NA
188,07/07/2017,NA
189,07/08/2017,NA
190,07/09/2017,NA
191,07/10/2017,NA
192,07/11/2017,NA
193,07/12/2017,NA
194,07/13/2017,NA
195,07/14/2017,NA
196,07/15/2017,NA
197,07/16/2017,NA
198,07/17/2017,NA
199,07/18/2017,NA
200,07/19/2017,NA
201,07/20/2017,NA
202,07/21/2017,NA
203,07/22/2017,NA
204,07/23/2017,NA
205,07/24/2017,NA
206,07/25/2017,NA
207,07/26/2017,NA
208,07/27/2017,NA
209,07/28/2017,NA
210,07/29/2017,NA
211,07/30/2017,NA
212,07/31/2017,NA
213,08/01/2017,NA
214,08/02/2017,NA
215,08/03/2017,NA
216,08/04/2017,NA
217,08/05/2017,NA
218,08/06/2017,NA
219,08/07/2017,NA
220,08/08/2017,NA
221,08/09/2017,NA
222,08/10/2017,NA
223,08/11/2017,NA
224,08/12/2017,NA
225,08/13/2017,NA
226,08/14/2017,NA
227,08/15/2017,NA
228,08/16/2017,NA
229,08/17/2017,NA
230,08/18/2017,NA
231,08/19/2017,NA
232,08/20/2017,NA
233,08/21/2017,NA
234,08/22/2017,NA
235,08/23/2017,NA
236,08/24/2017,0.0
237,08/25/2017,0.007086617999999999
238,08/26/2017,0.002362206
239,08/27/2017,0.020866153
240,08/28/2017,0.000787402
241,08/29/2017,0.005905514999999999
242,08/30/2017,0.000787402
243,08/31/2017,0.0
244,09/01/2017,0.0
245,09/02/2017,0.020866153
246,09/03/2017,0.002362206
247,09/04/2017,0.024409462
248,09/05/2017,0.000393701
249,09/06/2017,0.004724412
250,09/07/2017,0.0
