rank,trial_number,trial_id,objective_value,batch_size,climate_activation,climate_processing,climate_units,dropout_rate,l2_reg,learning_rate,local_dem_units,na,nb,output_activation,regional_dem_units,temporal_units,use_residual,weight_decay
1,3,1709,0.5325014856,1,0,0,1185,0.5,1.632244685e-07,3.423777691e-05,1,3712,600,0,1,2,0,0.001166700758
2,5,1711,0.5331734949,1,0,0,1110,0.5,1.551220481e-07,4.986265723e-05,0,3584,696,0,0,0,0,0.001208979771
3,4,1710,0.5349001942,0,0,0,1275,0.45,1.706413376e-07,1.840445584e-05,0,4096,680,0,2,1,0,0.0008879263572
4,1,1707,0.5440918439,1,0,0,1215,0.5,1.952918892e-07,4.221792354e-05,2,3712,600,0,1,3,0,0.0006987272938
5,7,1713,0.5462431452,0,0,0,1290,0.4,1.980205908e-07,9.471010917e-06,1,3712,616,0,2,3,0,0.00104630948
6,9,1715,0.5467854184,0,0,0,1170,0.45,1.264905662e-07,1.256634238e-05,1,4224,696,0,2,0,0,0.001110040664
7,0,1706,0.5476780865,0,0,0,1170,0.35,1.134317857e-07,8.11288005e-06,0,4224,680,0,0,0,0,0.0006984421572
8,2,1708,0.5516864492,2,0,0,1125,0.5,1.513511858e-07,5.695815465e-05,2,4096,696,0,1,3,0,0.0005510508263
9,6,1712,0.5600712101,2,0,0,1260,0.4,1.922401533e-07,1.173280752e-05,0,3712,600,0,2,0,0,0.0008840891012
10,8,1714,0.57290586,1,0,0,1170,0.35,1.563926585e-07,7.92166107e-06,1,3584,648,0,1,3,0,0.001068147147
