rank,trial_number,trial_id,objective_value,batch_size,climate_activation,climate_processing,climate_units,dropout_rate,l2_reg,learning_rate,local_dem_units,month_units,na,nb,output_activation,regional_dem_units,use_residual,weight_decay
1,11,675,0.54930077,0,0,0,1460,0.45,3.045530707e-07,8.123064249e-05,1,1,5248,1,0,2,0,0.0009286215942
2,2,666,0.554881985,0,0,0,1295,0.35,3.737548059e-07,0.0005837049992,3,0,5248,2,0,0,0,0.001527531663
3,5,669,0.5550322061,0,0,0,1595,0.4,8.289926883e-07,9.848719239e-05,1,1,4992,1,0,4,0,0.002233375182
4,3,667,0.5603740712,0,0,0,1370,0.35,1.257843014e-06,0.0001354840444,3,0,4480,2,0,4,0,0.0005739473003
5,12,676,0.56237713,0,0,0,1445,0.45,3.017250647e-07,8.063661256e-05,2,1,5504,1,0,2,0,0.0009568369896
6,9,673,0.563793689,1,0,0,1550,0.4,7.768280764e-07,0.0005027883034,3,0,2944,3,0,3,0,0.001602286781
7,7,671,0.5657882094,1,0,0,1505,0.4,1.502463207e-06,0.0003636661504,0,2,2688,3,0,1,0,0.001384203856
8,14,678,0.5666970139,0,0,0,1325,0.45,4.103053646e-07,0.0001619325833,3,1,1920,2,0,2,0,0.0009216884073
9,13,677,0.5692742765,0,0,0,1415,0.45,4.321238533e-07,0.000155766969,4,0,3456,1,0,2,0,0.0007727817704
10,10,674,0.5714941223,0,0,0,1280,0.25,3.063927563e-07,0.0003719269443,3,0,6016,1,0,6,0,0.0009870962932
