rank,trial_number,trial_id,objective_value,attention_dropout,attention_heads,batch_size,climate_activation,climate_processing,climate_units,dropout_rate,l2_reg,learning_rate,local_dem_units,na,nb,output_activation,regional_dem_units,temporal_depth,temporal_dropout,temporal_units,use_multihead_attention,use_residual,use_spatial_attention,weight_decay
1,13,2450,0.3907659382,0.2,2,0,0,0,915,0.45,1.319490258e-07,0.007303510391,2,4864,516,0,16,0,0.2,5,0,0,0,0.000433201231
2,46,2483,0.3948707804,0.2,2,0,0,0,750,0.4,1.549500121e-07,0.00376964946,0,4864,548,0,96,1,0.2,5,0,0,0,0.0002717803176
3,23,2460,0.3949143007,0.2,2,0,0,0,1245,0.4,1.767448822e-07,0.003527737538,2,4992,580,0,128,0,0.2,3,0,0,0,0.0001566670854
4,21,2458,0.3951943129,0.2,2,0,0,0,1095,0.4,1.774496728e-07,0.00425519943,2,5120,564,0,128,0,0.2,3,0,0,0,0.000130144454
5,43,2480,0.3962182224,0.2,2,0,0,0,960,0.4,1.76446652e-07,0.003925324202,2,4992,564,0,80,0,0.2,3,0,0,0,0.0001520882437
6,24,2461,0.3970615685,0.2,2,0,0,0,1230,0.4,1.776198878e-07,0.002394524971,2,4992,580,0,224,0,0.2,3,0,0,0,0.0001840921628
7,42,2479,0.3978561133,0.2,2,0,0,0,1170,0.4,1.775476189e-07,0.003967221988,2,5120,564,0,96,0,0.2,3,0,0,0,0.0001335466129
8,22,2459,0.3982604831,0.2,2,0,0,0,1140,0.4,1.763938644e-07,0.004017297674,2,5120,564,0,112,0,0.2,3,0,0,0,0.0001353930103
9,18,2455,0.3989713192,0.3,2,0,0,0,1140,0.4,1.587957673e-07,0.005725888843,2,5120,532,0,16,0,0.25,0,0,0,0,8.15437994e-05
10,14,2451,0.3993056342,0.25,0,0,0,0,1020,0.45,1.31230671e-07,0.007416115919,2,4864,516,0,16,1,0.15,5,0,0,0,0.0004244337897
